Date,SpreadsheetName,Nickname,DistanceDownstream_km,Chloride_mgL,NH4_mgNL
2/1/2018,Dam 1Feb,Bowersock,-2.9,113.8616,0.0843
2/1/2018,WWTP 1Feb,WWTP,-2.4,114.1099,0.2302
2/1/2018,Disch 1Feb,DischPt,0,115.7778,0.0798
2/1/2018,Steve 1Feb,Steve,5.6,96.4304,0.0816
2/1/2018,Eudora 1Feb,Eudora,12.3,109.9327,0.192133516
2/1/2018,DeSoto 1Feb,Desoto,29.9,91.7421,0.0681
3/1/2018,Dam 1Mar,Bowersock,-2.9,73.1597,0.047543944
3/1/2018,WWTP 1Mar,WWTP,-2.4,74.4466,0.023371056
3/1/2018,Disch 1Mar,DischPt,0,74.2429,0.026056946
3/1/2018,Steve 1Mar,Steve,5.6,60.5595,0.026952218
3/1/2018,Eudora 1Mar,Eudora,12.3,71.9409,0.030533382
3/1/2018,DeSoto 1Mar,Desoto,29.9,76.2971,0.203324711
3/15/2018,Site 1 15Mar2018,Bowersock,-2.9,142.9201,0.006360525
3/15/2018,Site 2 15Mar2018,WWTP,-2.4,145.4665,0.042172173
3/15/2018,Site 3 15Mar2018,DischPt,0,145.5374,0.02426633
3/15/2018,Site 4 15Mar2018,Site4,1.5,142.1573,0.029638105
3/15/2018,Site 5 15Mar2018,Site5,3.5,143.2259,0.026952218
3/15/2018,Site 6 15Mar2018,Steve,5.6,33.4792,0.057392159
3/15/2018,Site 7 15Mar2018,Site7,8.8,140.8524,0.026056946
3/15/2018,Site 8 15Mar2018,Eudora,12.3,139.0744,0.022475752
3/15/2018,Site 9 15Mar2018,Site9,14,137.3682,0.026952218
3/15/2018,Site 10 15Mar2018,Site10,18.8,137.1012,0.034114545
3/15/2018,Site 11 15Mar2018,Site 11,23.8,134.7767,0.048439218
3/15/2018,Site 12 15Mar2018,Desoto,29.9,132.0402,0.026952218
