Author,Date ,Journal,stream,gpp_gm2d,er_gm2d,q_Ls
Acuna et al,2007,J N Am Benthol Soc,Fuirosos,0.093754883,1.166727434,148
Acuna et al,2007,J N Am Benthol Soc,Fuirosos,0.13542372,0.708370228,148
Acuna et al,2007,J N Am Benthol Soc,Fuirosos,0.083337674,1.312568363,148
Acuna et al.,2004,Freshwater Biol,Fuirosos,0.75,4.63,60
Aristegi et al. ,2009,Hydrobiologia,9 Spanish Streams,8.5,10.6,1100
Atkinson et al. ,2008,J N Am Benthol Soc,Creightons creek tributaries,0.15,0.98,26
Atkinson et al. ,2008,J N Am Benthol Soc,Creightons creek tributaries,0,0.65,47
Atkinson et al. ,2008,J N Am Benthol Soc,Creightons creek tributaries,0.49,3.7,608
Atkinson et al. ,2008,J N Am Benthol Soc,Creightons creek tributaries,0.063,1,532
Atkinson et al. ,2008,J N Am Benthol Soc,Creightons creek tributaries,0.18,0.93,25
Atkinson et al. ,2008,J N Am Benthol Soc,Creightons creek tributaries,0.36,0.83,47
Atkinson et al. ,2008,J N Am Benthol Soc,Creightons creek tributaries,0.42,3,805
Betts and Jones,2009,Arct Antarct Alp Res,C2,1.5,4.5,31
Betts and Jones,2009,Arct Antarct Alp Res,C4,0.9,1.2,75
Betts and Jones,2009,"Arctic, antarctiv and alpine research",P6 burned,2.4,6.6,40
Bott et al,2006,Ecosystems,"Big Springs, Forest",0.7,4.6,30
Bott et al,2006,Ecosystems,"Big Springs, Meadow",1.6,10.5,20
Bott et al,2006,Ecosystems,"Birch Run, Forest",1,4,105
Bott et al,2006,Ecosystems,"Birch run, Meadow",3,4.7,65
Bott et al,2006,Ecosystems,"Buck and Doe Run, Forest",1.6,3.2,2065
Bott et al,2006,Ecosystems,"Buck and Doe run, Meadow",3.5,5.2,1210
Bott et al,2006,J N Am Benthol Soc,Bushkill,4.2,8,1790
Bott et al,2006,J N Am Benthol Soc,Cross,0.9,3,115
Bott et al,2006,Ecosystems,"Doe Wister, Forest",2.7,5.1,260
