Author_date_code,Stream,State_(USA)_or_country,Reach_descriptor,Date,Isotope_study,Stream_order,Discharge_Ls,Depth_m,Width_m,Velocity_ms,NH4_Cb_ ugNL,NH4_Cp_ugNL,NH4_Sw_m,NH4_Vf_mmmin,NO3_Cb_ugNL,NO3_Cp_ugNL,NO3_Sw_m,NO3_Vf_mmmin
Arp_and_Baker_2007,Beaver,ID,reference,summers_2003-2004,no,NA,334,0.18,5.9,NA,NA,NA,NA,NA,2,17.6,7692,0.44
Arp_and_Baker_2007,Elk,ID,reference,summers_2003-2004,no,NA,303,0.22,6.4,NA,NA,NA,NA,NA,3.7,14.8,2778,1.02
Arp_and_Baker_2007,Fir_1,ID,reference,summers_2003-2004,no,NA,189,0.27,3.8,NA,NA,NA,NA,NA,28.2,42.3,1337,2.23
Arp_and_Baker_2007,Fir_2,ID,reference,summers_2003-2004,no,NA,250,0.24,4.9,NA,NA,NA,NA,NA,51.7,62,390,7.85
Arp_and_Baker_2007,Stanley_Lake_1,ID,reference,summers_2003-2004,no,NA,445,0.16,7.6,NA,NA,NA,NA,NA,12.3,38.1,5882,0.6
Arp_and_Baker_2007,Stanley_Lake_2,ID,reference,summers_2003-2004,no,NA,580,0.27,6.8,NA,NA,NA,NA,NA,8.1,42.9,2128,2.4
Arp_and_Baker_2007,Warm_Springs_1,ID,reference,summers_2003-2004,no,NA,156,0.24,2.3,NA,NA,NA,NA,NA,8.8,23.8,1282,3.17
Arp_and_Baker_2007,Warm_Springs_2,ID,reference,summers_2003-2004,no,NA,177,0.33,4.4,NA,NA,NA,NA,NA,5.7,23.9,541,4.46
Arp_and_Baker_2007,Pettit_Lake_N,ID,lake_inlet,summers_2003-2004,no,NA,69,0.18,4.9,NA,NA,NA,NA,NA,25.3,131.6,1563,0.54
Arp_and_Baker_2007,Pettit_Lake_S,ID,lake_inlet,summers_2003-2004,no,NA,178,0.2,4,NA,NA,NA,NA,NA,17.4,92.2,1370,1.95
Arp_and_Baker_2007,Stanley_Lake_3,ID,lake_inlet,summers_2003-2004,no,NA,670,0.2,12,NA,NA,NA,NA,NA,13.3,39.9,NA,NA
Arp_and_Baker_2007,Warm_Springs_3,ID,lake_inlet,summers_2003-2004,no,2,232,0.32,2.8,NA,NA,NA,NA,NA,5.1,18.4,1754,2.83
Arp_and_Baker_2007,Yellowbelly_1,ID,lake_inlet,summers_2003-2004,no,NA,78,0.21,4.8,NA,NA,NA,NA,NA,7.5,31.5,455,2.14
