Date,Upstream_BurchamPark_NitrateNitrite_mgN/L,Downstream_1625RdDitch_NitrateNitrite_mgN/L,OutflowWier_Farmland001A1_NitrateNitrite_mgN/L,Upstream_BurchamPark_Ammonia_mgN/L,Downstream_1625RdDitch_Ammonia_mgN/L,OutflowWier_Farmland001A1_Ammonia_mgN/L,VolumePumped_MG,flowRate_Outfall001A_gpm,flowRate_AveragePump_gpm,Notes
11/14/2017,NA,NA,NA,NA,NA,NA,0.36,285,342,BDL_NitrateNitrite: sample concentration less than 0.25 mg-N/L
11/15/2017,0.316,113,216,BDL_Ammonia,31,60.9,0.432,223,307,BDL_Ammonia: sample concentration less than 0.30 mg-N/L
11/16/2017,BDL_NitrateNitrite,182,269,BDL_Ammonia,52,76.3,0.432,213,306,
11/17/2017,0.296,229,339,BDL_Ammonia,58,76.6,0.425,261,313,Pumping is off for the weekend
11/20/2017,BDL_NitrateNitrite,82,82.3,BDL_Ammonia,21.1,23.6,0.138,221,310,
11/21/2017,BDL_NitrateNitrite,396,350,BDL_Ammonia,101,116,0.414,191,298,
11/22/2017,BDL_NitrateNitrite,371,423,0.358,108,103,0.433,169,299,Pumping is off for the weekend
11/27/2017,BDL_NitrateNitrite,50,28,BDL_Ammonia,10.8,13.7,0.109,192,275,
11/28/2017,BDL_NitrateNitrite,387,362,BDL_Ammonia,104,108,0.158,265,250,Note - pump was off this morning from approx 8:00am until 10:28am so the suction hose could be cleaned out and set deeper in the pond.
11/29/2017,0.408,455,428,BDL_Ammonia,111,122,0.076,217,307,
11/30/2017,0.301,386,426,BDL_Ammonia,108,112,0.472,192,295,
12/1/2017,0.336,386,388,BDL_Ammonia,102,105,0.298,202,298,Pumping is off for the weekend
12/4/2017,0.343,126,137,BDL_Ammonia,25.6,38.8,0.234,204,290,
12/5/2017,0.339,411,424,BDL_Ammonia,88.6,93.8,NA,186,298,
12/6/2017,0.37,402,408,BDL_Ammonia,100,106,0.185,207,300,Pumping interrupted at approx 9:30pm due to mechanical failure
12/7/2017,NA,NA,NA,NA,NA,NA,0.163,16,300,"Average Pump Flow Rate Estimated Based on Pump Failure at 9:30pm. Pumping was off, no sampling was completed."
12/13/2017,1.15,45.2,37.6,BDL_Ammonia,25.8,25.3,0.434,339,442,
12/14/2017,1.26,290,362,BDL_Ammonia,124,178,0.443,296,330,
12/15/2017,1.15,538,500,BDL_Ammonia,228,230,0.045,230,331,
12/16/2017,1.22,485,508,BDL_Ammonia,222,225,0.453,303,408,Pump failed overnight
12/17/2017,1.12,354,432,BDL_Ammonia,163,199,0.476,367,461,Due to meter damage volume and average pump flow rate based on run time and previous days average pump flow rate.
12/18/2017,NA,NA,NA,NA,NA,NA,0.456,NA,NA,No pumping or sampling
12/19/2017,1.263,218,327,BDL_Ammonia,80,127,NA,416,480,
12/20/2017,1.2,360,461,BDL_Ammonia,167,217,NA,294,380,Started 24 hour pumping
12/21/2017,1.09,479,512,BDL_Ammonia,221,217,NA,253,293,note: average flow was recalculated
12/22/2017,1.16,507,489,BDL_Ammonia,197,204,NA,303,317,
12/26/2017,0.527,137,161,BDL_Ammonia,52.1,63.9,NA,246,333,Pumping resumed at 13:24. Samples were taken late in the afternoon and preserved for analysis tomorrow
12/27/2017,0.605,357,451,BDL_Ammonia,136,170,0.44,254,325,
12/28/2017,0.691,541,535,BDL_Ammonia,223,212,0.502,306,325,
12/29/2017,0.659,532,555,BDL_Ammonia,222,227,NA,320,324,pumping was shut down for the holiday weekend
12/30/2017,NA,NA,NA,NA,NA,NA,0,0,0,
12/31/2017,NA,NA,NA,NA,NA,NA,0,0,0,
