date,parmeterCode,value
2/5/2018,600,1.1
2/5/2018,602,0.93
2/5/2018,605,0.55
2/5/2018,607,0.34
2/5/2018,608,0.01
2/5/2018,613,0.004
2/5/2018,618,0.555
2/5/2018,623,0.37
2/5/2018,625,0.57
2/5/2018,631,0.56
2/5/2018,660,0.571
2/5/2018,665,0.27
2/5/2018,666,0.19
2/5/2018,671,0.186
2/5/2018,49570,0.199
2/5/2018,62854,0.91
2/5/2018,71846,0.018
2/5/2018,71851,2.46
2/5/2018,71856,0.012
2/9/2018,631,0.684
2/9/2018,99133,0.79
3/5/2018,600,2.4
3/5/2018,602,1.5
3/5/2018,605,1.1
3/5/2018,607,1.2
3/5/2018,608,0.02
3/5/2018,613,0.001
3/5/2018,618,0.265
3/5/2018,623,1.3
3/5/2018,625,1.1
3/5/2018,631,0.27
3/5/2018,660,0.311
3/5/2018,665,0.27
3/5/2018,666,0.27
3/5/2018,671,0.102
3/5/2018,49570,0.844
3/5/2018,62854,1.51
3/5/2018,71846,0.026
3/5/2018,71851,1.17
3/5/2018,71856,0.004
3/5/2018,600,2
3/5/2018,602,1.6
3/5/2018,605,1.1
3/5/2018,607,1
3/5/2018,608,0.03
3/5/2018,613,0.002
3/5/2018,618,0.287
3/5/2018,623,1.3
3/5/2018,625,1.2
3/5/2018,631,0.29
3/5/2018,660,0.321
3/5/2018,665,0.27
3/5/2018,666,0.3
3/5/2018,671,0.105
3/5/2018,49570,0.657
3/5/2018,62854,1.37
3/5/2018,71846,0.037
3/5/2018,71851,1.27
3/5/2018,71856,0.006
3/20/2018,600,3.2
3/20/2018,602,1.7
3/20/2018,605,2.2
3/20/2018,607,0.77
3/20/2018,608,0.06
3/20/2018,613,0.014
3/20/2018,618,0.896
3/20/2018,623,0.78
3/20/2018,625,2.3
3/20/2018,631,0.91
3/20/2018,660,0.32
3/20/2018,665,0.69
3/20/2018,666,0.1
3/20/2018,671,0.104
3/20/2018,49570,1.47
3/20/2018,62854,1.74
3/20/2018,71846,0.082
3/20/2018,71851,3.97
3/20/2018,71856,0.046
4/11/2018,631,0.04
4/11/2018,99133,0.2
4/16/2018,600,1
4/16/2018,602,0.42
4/16/2018,605,1
4/16/2018,607,0.35
4/16/2018,608,0.01
4/16/2018,613,0.009
4/16/2018,618,0.065
4/16/2018,623,0.35
4/16/2018,625,1
4/16/2018,631,0.07
4/16/2018,660,0.256
4/16/2018,665,0.25
4/16/2018,666,0.07
4/16/2018,671,0.083
4/16/2018,49570,0.581
4/16/2018,62854,0.43
4/16/2018,71846,0.013
4/16/2018,71851,0.29
4/16/2018,71856,0.029
4/30/2018,600,0.98
