DateTime_UTC,nitrateNitrite,temp_C,DO_mgL,DO_sat,PAR,barom.pressure,Discharge_m3s,Depth_m
2/20/18 0:00,2.797122,7.554,0.054,0.46458,131.69,96.08055,56.7752,0.68971116
2/20/18 0:10,NA,7.544,0.051,0.438662,93.02,96.092,NA,NA
2/20/18 0:15,2.769426,NA,NA,NA,127.44,96.08055,56.7752,0.68971116
2/20/18 0:20,NA,7.525,0.051,0.438456,102.67,96.09036,NA,NA
2/20/18 0:30,2.752908,7.525,0.049,0.421262,106.22,96.09036,56.7752,0.68971116
2/20/18 0:40,NA,7.516,0.049,0.421168,147.89,96.10999,NA,NA
2/20/18 0:45,2.757301,NA,NA,NA,87.24,96.12144,56.7752,0.68971116
2/20/18 0:50,NA,7.544,0.048,0.412858,144.73,96.11817,NA,NA
2/20/18 1:00,2.758831,7.516,0.049,0.421168,133.09,96.11653,56.6336,0.688678541
2/20/18 1:10,NA,7.535,0.047,0.404167,132.78,96.10017,NA,NA
2/20/18 1:15,2.749853,NA,NA,NA,100.04,96.10999,56.3504,0.686610201
2/20/18 1:20,NA,7.535,0.047,0.404167,58.16,96.1149,NA,NA
2/20/18 1:30,2.751574,7.506,0.046,0.395285,77.7,96.1198,56.3504,0.686610201
2/20/18 1:40,NA,7.525,0.045,0.386873,111.27,96.11326,NA,NA
2/20/18 1:45,2.751,NA,NA,NA,70.1,96.12961,56.6336,0.688678541
2/20/18 1:50,NA,7.544,0.046,0.395656,100.36,96.13452,NA,NA
2/20/18 2:00,2.767646,7.535,0.046,0.395568,70.07,96.12961,56.7752,0.68971116
2/20/18 2:10,NA,7.497,0.044,0.378015,101.55,96.12961,NA,NA
2/20/18 2:15,2.777039,NA,NA,NA,96.88,96.14434,56.7752,0.68971116
2/20/18 2:20,NA,7.535,0.044,0.378369,116.41,96.14925,NA,NA
2/20/18 2:30,2.790082,7.563,0.044,0.378631,83.21,96.16887,56.6336,0.688678541
2/20/18 2:40,NA,7.535,0.045,0.386969,78.11,96.15906,NA,NA
2/20/18 2:45,2.791811,NA,NA,NA,82.89,96.14761,56.6336,0.688678541
2/20/18 2:50,NA,7.544,0.044,0.378453,67.02,96.13943,NA,NA
2/20/18 3:00,2.798928,7.535,0.044,0.378369,51.56,96.15743,56.7752,0.68971116
2/20/18 3:10,NA,7.535,0.045,0.386969,42.14,96.17869,NA,NA
2/20/18 3:15,2.813205,NA,NA,NA,57.89,96.16887,56.6336,0.688678541
2/20/18 3:20,NA,7.525,0.044,0.378276,62.37,96.16887,NA,NA
2/20/18 3:30,2.813782,7.544,0.044,0.378453,64.19,96.17869,56.6336,0.688678541
2/20/18 3:40,NA,7.516,0.043,0.369597,43.9,96.19831,NA,NA
2/20/18 3:45,2.800334,NA,NA,NA,27.86,96.20813,56.6336,0.688678541
2/20/18 3:50,NA,7.535,0.043,0.36977,28.15,96.21795,NA,NA
2/20/18 4:00,2.77072,7.516,0.041,0.352406,24.99,96.22285,56.7752,0.68971116
2/20/18 4:10,NA,7.506,0.043,0.369506,22.28,96.22776,NA,NA
2/20/18 4:15,2.75979,NA,NA,NA,18.97,96.22776,56.6336,0.688678541
2/20/18 4:20,NA,7.525,0.041,0.352485,15.22,96.2343,NA,NA
2/20/18 4:30,2.775743,7.525,0.04,0.343887,10.37,96.24739,56.6336,0.688678541
2/20/18 4:40,NA,7.516,0.041,0.352406,8.78,96.24739,NA,NA
2/20/18 4:45,2.802069,NA,NA,NA,6.19,96.24739,56.9168,0.690742749
2/20/18 4:50,NA,7.544,0.04,0.344049,3.74,96.24739,NA,NA
2/20/18 5:00,2.834241,7.516,0.04,0.343811,1.54,96.25066,56.6336,0.688678541
2/20/18 5:10,NA,7.497,0.04,0.34365,0.31,96.27029,NA,NA
2/20/18 5:15,2.845648,NA,NA,NA,0.2,96.27683,56.7752,0.68971116
2/20/18 5:20,NA,7.525,0.039,0.33529,0.1,96.27683,NA,NA
2/20/18 5:30,2.830431,7.516,0.039,0.335216,-0.05,96.27683,56.9168,0.690742749
2/20/18 5:40,NA,7.487,0.038,0.326387,-0.06,96.27683,NA,NA
2/20/18 5:45,2.797686,NA,NA,NA,-0.03,96.27683,56.7752,0.68971116
2/20/18 5:50,NA,7.506,0.04,0.343726,-0.06,96.27683,NA,NA
2/20/18 6:00,2.771475,7.478,0.037,0.317727,-0.06,96.28664,56.9168,0.690742749
2/20/18 6:10,NA,7.487,0.037,0.317798,-0.08,96.28992,NA,NA
2/20/18 6:15,2.770323,NA,NA,NA,-0.15,96.28664,57.0584,0.691773312
2/20/18 6:20,NA,7.478,0.036,0.30914,-0.02,96.27683,NA,NA
2/20/18 6:30,2.767265,7.439,0.036,0.308842,0,96.27683,56.9168,0.690742749
2/20/18 6:40,NA,7.449,0.038,0.32608,-0.04,96.26702,NA,NA
2/20/18 6:45,2.753698,NA,NA,NA,-0.01,96.29646,56.9168,0.690742749
2/20/18 6:50,NA,7.411,0.036,0.308628,-0.01,96.26702,NA,NA
2/20/18 7:00,2.731924,7.439,0.036,0.308842,-0.03,96.2572,56.7752,0.68971116
2/20/18 7:10,NA,7.42,0.039,0.334422,-0.02,96.2572,NA,NA
