DateTime_UTC,Wtemp_Inst,Flow_Inst,SpecCond_Inst,DO_Inst,DO_percentsat,pH_Inst,nitrateNitrite,PAR,barom.pressure,Depth_m
1/31/18 23:00,3.9,70.508832,963,13.3,102,8.4,0.9,0.08,96.52217,NA
1/31/18 23:15,3.9,69.942496,962,13.3,102,8.4,0.9,-0.01,96.5418,NA
1/31/18 23:30,3.9,70.508832,961,13.3,101,8.4,0.93,-0.03,96.55161,NA
1/31/18 23:45,3.9,69.942496,960,13.3,101,8.4,0.9,-0.07,96.58106,NA
2/1/18 0:00,3.9,69.942496,959,13.2,101,8.4,0.9,-0.02,96.60068,NA
2/1/18 0:15,3.9,69.659328,959,13.2,101,8.4,0.93,-0.01,96.6105,1.005416171
2/1/18 0:30,3.9,69.659328,959,13.2,101,8.4,0.93,-0.03,96.61704,1.005416171
2/1/18 0:45,3.8,69.659328,957,13.2,101,8.4,0.9,-0.02,96.63012,1.005416171
2/1/18 1:00,3.8,69.659328,957,13.2,100,8.4,0.88,-0.04,96.63994,1.005416171
2/1/18 1:15,3.8,69.659328,957,13.2,100,8.4,0.93,-0.06,96.63012,1.005416171
2/1/18 1:30,3.8,69.659328,956,13.2,100,8.4,0.93,-0.03,96.63994,1.005416171
2/1/18 1:45,3.8,69.092992,957,13.1,100,8.4,0.9,-0.04,96.64157,1.000504007
2/1/18 2:00,3.7,69.092992,956,13.1,100,8.4,0.9,-0.05,96.66938,1.000504007
2/1/18 2:15,3.7,69.092992,956,13.1,99,8.4,0.9,-0.04,96.69882,1.000504007
2/1/18 2:30,3.7,68.809824,955,13.1,99,8.4,0.93,-0.03,96.70863,0.998041453
2/1/18 2:45,3.7,68.809824,955,13.1,99,8.4,0.93,-0.04,96.70863,0.998041453
2/1/18 3:00,3.7,68.243488,954,13,99,8.4,0.9,-0.02,96.72825,0.993105022
2/1/18 3:15,3.7,69.092992,954,13,99,8.4,0.84,-0.04,96.73807,1.000504007
2/1/18 3:30,3.7,68.809824,953,13,99,8.4,0.88,-0.07,96.72825,0.998041453
2/1/18 3:45,3.6,68.243488,952,13,99,8.4,0.88,-0.04,96.73316,0.993105022
2/1/18 4:00,3.6,68.243488,950,13,99,8.4,0.84,-0.04,96.7577,0.993105022
2/1/18 4:15,3.6,68.243488,951,13,98,8.4,0.84,-0.1,96.74788,0.993105022
2/1/18 4:30,3.6,67.96032,950,13,98,8.4,0.84,-0.04,96.76097,0.990630226
2/1/18 4:45,3.6,67.96032,949,13,98,8.4,0.84,-0.06,96.73807,0.990630226
2/1/18 5:00,3.6,67.96032,949,13,98,8.4,0.84,-0.07,96.73153,0.990630226
2/1/18 5:15,3.6,67.393984,947,13,98,8.4,0.84,0.01,96.7397,0.985669102
2/1/18 5:30,3.6,68.809824,947,12.9,98,8.4,0.9,-0.04,96.74788,0.998041453
2/1/18 5:45,3.6,68.243488,947,12.9,98,8.4,0.84,-0.09,96.74298,0.993105022
2/1/18 6:00,3.6,67.96032,946,12.9,98,8.4,0.81,-0.03,96.74461,0.990630226
2/1/18 6:15,3.6,67.96032,945,12.9,98,8.4,0.81,-0.03,96.74788,0.990630226
2/1/18 6:30,3.6,67.96032,945,12.9,98,8.4,0.9,-0.05,96.73807,0.990630226
2/1/18 6:45,3.6,67.96032,946,12.9,98,8.4,0.88,-0.04,96.76751,0.990630226
2/1/18 7:00,3.6,67.96032,944,12.9,98,8.4,0.88,-0.03,96.78714,0.990630226
2/1/18 7:15,3.6,67.96032,943,12.9,97,8.4,0.84,-0.05,96.83293,0.990630226
2/1/18 7:30,3.6,68.243488,944,12.8,97,8.4,0.84,-0.03,96.87545,0.993105022
2/1/18 7:45,3.6,67.96032,943,12.8,97,8.4,0.88,-0.05,96.87054,0.990630226
2/1/18 8:00,3.6,68.243488,944,12.8,97,8.4,0.84,-0.06,96.87545,0.993105022
2/1/18 8:15,3.6,68.243488,942,12.8,97,8.4,0.95,-0.02,96.89672,0.993105022
2/1/18 8:30,3.6,67.96032,942,12.8,97,8.4,0.9,-0.03,96.94087,0.990630226
2/1/18 8:45,3.6,68.243488,942,12.8,97,8.4,0.84,-0.06,97.00139,0.993105022
2/1/18 9:00,3.6,68.809824,942,12.8,97,8.4,0.88,-0.03,97.00302,0.998041453
2/1/18 9:15,3.6,68.809824,942,12.8,97,8.4,0.88,-0.03,97.00302,0.998041453
2/1/18 9:30,3.6,68.809824,940,12.8,97,8.4,0.88,-0.05,97.0439,0.998041453
2/1/18 9:45,3.6,68.809824,940,12.8,97,8.4,0.88,-0.02,97.06353,0.998041453
2/1/18 10:00,3.5,68.809824,940,12.8,97,8.4,0.88,-0.01,97.09951,0.998041453
2/1/18 10:15,3.5,68.809824,934,12.8,96,8.4,0.95,-0.02,97.1502,0.998041453
