Date,Upstream_BurchamPark_NitrateNitrite_mgN/L,Downstream_1625RdDitch_NitrateNitrite_mgN/L,OutflowWier_Farmland001A1_NitrateNitrite_mgN/L,Upstream_BurchamPark_Ammonia_mgN/L,Downstream_1625RdDitch_Ammonia_mgN/L,OutflowWier_Farmland001A1_Ammonia_mgN/L,VolumePumped_MG,flowRate_Outfall001A_gpm,flowRate_AveragePump_gpm,Notes
11/14/17,NA,NA,NA,NA,NA,NA,0.36,285,342,BDL_NitrateNitrite: sample concentration less than 0.25 mg-N/L
11/15/17,0.316,113,216,BDL_Ammonia,31,60.9,0.432,223,307,BDL_Ammonia: sample concentration less than 0.30 mg-N/L
11/16/17,BDL_NitrateNitrite,182,269,BDL_Ammonia,52,76.3,0.432,213,306,
11/17/17,0.296,229,339,BDL_Ammonia,58,76.6,0.425,261,313,Pumping is off for the weekend
11/20/17,BDL_NitrateNitrite,82,82.3,BDL_Ammonia,21.1,23.6,0.138,221,310,
11/21/17,BDL_NitrateNitrite,396,350,BDL_Ammonia,101,116,0.414,191,298,
11/22/17,BDL_NitrateNitrite,371,423,0.358,108,103,0.433,169,299,Pumping is off for the weekend
11/27/17,BDL_NitrateNitrite,50,28,BDL_Ammonia,10.8,13.7,0.109,192,275,
11/28/17,BDL_NitrateNitrite,387,362,BDL_Ammonia,104,108,0.158,265,250,Note - pump was off this morning from approx 8:00am until 10:28am so the suction hose could be cleaned out and set deeper in the pond.
11/29/17,0.408,455,428,BDL_Ammonia,111,122,0.076,217,307,
11/30/17,0.301,386,426,BDL_Ammonia,108,112,0.472,192,295,
12/01/17,0.336,386,388,BDL_Ammonia,102,105,0.298,202,298,Pumping is off for the weekend
12/04/17,0.343,126,137,BDL_Ammonia,25.6,38.8,0.234,204,290,
12/05/17,0.339,411,424,BDL_Ammonia,88.6,93.8,NA,186,298,
12/06/17,0.37,402,408,BDL_Ammonia,100,106,0.185,207,300,Pumping interrupted at approx 9:30pm due to mechanical failure
12/07/17,NA,NA,NA,NA,NA,NA,0.163,16,300,"Average Pump Flow Rate Estimated Based on Pump Failure at 9:30pm. Pumping was off, no sampling was completed."
12/13/17,1.15,45.2,37.6,BDL_Ammonia,25.8,25.3,0.434,339,442,
12/14/17,1.26,290,362,BDL_Ammonia,124,178,0.443,296,330,
