"dateTime","nitrateNitrite","temp_C","DO_mgL","DO_sat"
2018-01-11 11:46:00,0.047553,NA,NA,NA
2018-01-11 11:46:30,0.081268,NA,NA,NA
2018-01-11 11:47:00,0.129843,NA,NA,NA
2018-01-11 11:47:30,0.151304,NA,NA,NA
2018-01-11 11:48:00,0.355809,NA,NA,NA
2018-01-11 11:48:30,1.544021,NA,NA,NA
2018-01-11 11:49:00,3.379609,NA,NA,NA
2018-01-11 11:49:30,5.026986,NA,NA,NA
2018-01-11 11:50:00,5.676963,NA,NA,NA
2018-01-11 11:50:30,5.703661,NA,NA,NA
2018-01-11 11:51:00,5.709214,NA,NA,NA
2018-01-11 11:51:30,3.827766,NA,NA,NA
2018-01-11 11:52:00,2.128576,NA,NA,NA
2018-01-11 11:52:30,4.020532,NA,NA,NA
2018-01-11 11:53:00,7.815224,NA,NA,NA
2018-01-11 11:53:30,11.42404,NA,NA,NA
2018-01-11 11:54:00,11.43812,NA,NA,NA
2018-01-11 11:54:30,11.436989,NA,NA,NA
2018-01-11 11:55:00,11.440375,NA,NA,NA
2018-01-11 11:55:30,11.443765,NA,NA,NA
2018-01-11 11:56:00,11.443202,NA,NA,NA
2018-02-05 12:40:30,0.039,NA,NA,NA
2018-02-05 12:41:00,0.038483,NA,NA,NA
2018-02-05 12:41:30,0.037707,NA,NA,NA
2018-02-05 12:42:00,0.036413,NA,NA,NA
2018-02-05 12:42:30,0.036154,NA,NA,NA
2018-02-05 12:43:00,0.035507,NA,NA,NA
2018-02-05 12:43:30,0.035507,NA,NA,NA
2018-02-05 12:44:00,0.035248,NA,NA,NA
2018-02-05 12:44:30,0.035248,NA,NA,NA
2018-02-05 12:45:00,0.035378,NA,NA,NA
2018-02-05 12:45:30,0.034731,NA,NA,NA
2018-02-05 12:46:00,0.034601,NA,NA,NA
2018-02-05 12:46:30,0.034084,NA,NA,NA
2018-02-05 12:47:00,0.034472,NA,NA,NA
2018-02-12 10:52:30,0.041331,NA,NA,NA
2018-02-19 10:40:00,NA,21.924,7.716,90.817795
2018-02-19 10:50:00,NA,21.891,7.77,91.395044
2018-02-19 11:00:00,NA,19.18,8.187,91.279286
2018-02-19 11:10:00,NA,18.751,8.245,91.131022
2018-02-19 11:20:00,NA,18.153,8.36,91.280988
2018-02-19 11:30:00,NA,17.419,8.493,91.339138
2018-02-19 11:40:00,NA,16.374,8.682,91.350615
2018-02-19 11:50:00,NA,15.219,8.927,91.642611
2018-02-19 12:00:00,NA,13.973,9.191,91.82775
2018-02-19 12:10:00,NA,8.301,9.936,87.061395
2018-02-19 12:20:00,NA,7.867,11.335,98.272384
2018-02-19 12:30:00,NA,7.715,11.483,99.184599
2018-02-19 12:34:30,2.18604,NA,NA,NA
2018-02-19 12:35:00,2.185512,NA,NA,NA
2018-02-19 12:35:30,2.188157,NA,NA,NA
2018-02-19 12:36:00,2.191332,NA,NA,NA
2018-02-19 12:36:30,2.196446,NA,NA,NA
2018-02-19 12:40:00,NA,7.639,11.502,99.163081
2018-02-19 12:44:30,2.225911,NA,NA,NA
2018-02-19 12:45:00,2.254133,NA,NA,NA
2018-02-19 12:50:00,NA,7.639,1.599,13.785582
2018-02-19 13:00:00,2.28953,7.592,0.452,3.892353
2018-02-19 13:10:00,NA,7.601,0.321,2.764873
2018-02-19 13:15:00,2.306203,NA,NA,NA
2018-02-19 13:20:00,NA,7.611,0.277,2.386475
2018-02-19 13:30:00,2.340203,7.601,0.239,2.058581
