"dateTime","nitrateNitrite","temp_C","DO_mgL","DO_sat"
2018-01-30 15:25:00,NA,21.979,8.308,97.915184
2018-01-30 15:35:00,NA,21.352,8.438,98.244553
2018-01-30 15:45:00,NA,21.009,8.476,98.02739
2018-01-30 15:55:00,NA,20.332,8.557,97.652625
2018-01-30 16:05:00,NA,19.226,8.719,97.326213
2018-01-30 16:15:00,NA,18.15,8.917,97.382008
2018-01-30 16:25:00,NA,17.178,9.106,97.467237
2018-01-30 16:35:00,NA,16.295,9.293,97.641569
2018-01-30 16:45:00,NA,15.552,9.467,97.909055
2018-01-30 16:55:00,NA,14.545,9.641,97.562918
2018-01-30 17:05:00,NA,5.824,14.13,116.437746
2018-01-30 17:15:00,NA,4.338,14.711,116.66406
2018-01-30 17:25:00,NA,3.942,14.707,115.425641
2018-01-30 17:35:00,NA,3.819,14.641,114.535273
2018-01-30 17:45:00,NA,3.645,14.539,113.214837
2018-01-30 17:55:00,NA,3.584,14.521,112.891893
2018-01-30 18:05:00,NA,3.594,14.524,112.94518
2018-01-30 18:15:00,NA,3.501,14.32,111.084124
2018-01-30 18:25:00,NA,3.368,14.228,109.980537
2018-01-30 18:35:00,NA,3.264,14.196,109.429257
2018-01-30 18:45:00,NA,3.181,14.132,108.694636
2018-01-30 18:55:00,NA,3.119,14.117,108.399329
2018-01-30 19:05:00,NA,3.047,14.058,107.738317
2018-01-30 19:15:00,NA,2.943,13.933,106.482817
2018-01-30 19:25:00,NA,2.901,13.907,106.164257
2018-01-30 19:35:00,NA,2.765,13.736,104.475811
2018-01-30 19:45:00,NA,2.703,13.693,103.974815
2018-01-30 19:55:00,NA,2.598,13.623,103.150421
2018-01-30 20:05:00,NA,2.43,13.571,102.290425
2018-01-30 20:15:00,NA,2.377,13.465,101.345647
2018-01-30 20:25:00,NA,2.261,13.414,100.644093
2018-01-30 20:35:00,NA,2.219,13.396,100.394243
2018-01-30 20:45:00,NA,2.145,13.383,100.094851
2018-01-30 20:55:00,NA,2.092,13.371,99.860657
2018-01-30 21:05:00,NA,2.124,13.334,99.671286
2018-01-30 21:15:00,NA,1.976,13.368,99.522411
2018-01-30 21:25:00,NA,1.944,13.374,99.479968
2018-01-30 21:35:00,NA,1.944,13.345,99.264257
2018-01-30 21:45:00,NA,1.88,13.35,99.127608
2018-01-30 21:55:00,NA,1.912,13.32,98.991562
2018-01-30 22:05:00,NA,1.965,13.299,98.978938
2018-01-30 22:15:00,NA,1.986,13.418,99.921969
2018-01-30 22:25:00,NA,2.314,13.526,101.630747
2018-01-30 22:35:00,NA,2.504,13.562,102.427749
2018-01-30 22:45:00,NA,2.535,13.505,102.082876
2018-01-30 22:55:00,NA,2.451,13.401,101.06658
2018-01-30 23:05:00,NA,2.462,13.394,101.043904
2018-01-30 23:15:00,NA,2.546,13.406,101.36471
2018-01-30 23:25:00,NA,2.525,13.478,101.851218
2018-01-30 23:35:00,NA,2.577,13.472,101.949188
2018-01-30 23:45:00,NA,2.682,13.512,102.542315
2018-01-30 23:55:00,NA,2.608,13.514,102.352754
2018-01-31 00:05:00,NA,2.619,13.51,102.352876
2018-01-31 00:15:00,NA,2.619,13.508,102.337724
2018-01-31 00:25:00,NA,2.535,13.446,101.636901
2018-01-31 00:35:00,NA,2.567,13.413,101.475263
2018-01-31 00:45:00,NA,2.504,13.354,100.856818
2018-01-31 00:55:00,NA,2.546,13.301,100.57079
2018-01-31 01:05:00,NA,2.535,13.274,100.336771
2018-01-31 01:15:00,NA,2.567,13.208,99.924347
2018-01-31 01:25:00,NA,2.525,13.188,99.659732
2018-01-31 01:35:00,NA,2.451,13.158,99.233942
2018-01-31 01:45:00,NA,2.493,13.071,98.690044
2018-01-31 01:55:00,NA,2.483,13.035,98.391581
2018-01-31 02:05:00,NA,2.493,12.977,97.980315
2018-01-31 02:15:00,NA,2.483,12.942,97.689593
2018-01-31 02:25:00,NA,2.483,12.909,97.440501
2018-01-31 02:35:00,NA,2.398,12.925,97.336734
