Date,Release_MilfordLake_cfs,Release_TuttleCreekLake_cfs,Release_PerryLake_cfs,Release_ClintonLake_cfs
2016-01-01,353,3893,25,526
2016-01-02,400,5000,25,600
2016-01-03,400,5000,25,600
2016-01-04,400,5000,25,600
2016-01-05,1631,5000,715,908
2016-01-06,2000,5000,1000,1000
2016-01-07,2000,5000,1000,1000
2016-01-08,2000,5000,1000,1000
2016-01-09,2000,5000,1000,1000
2016-01-10,2000,5000,1000,1000
2016-01-11,2000,5000,1000,1000
2016-01-12,2000,5000,1000,1000
2016-01-13,1167,5000,1000,1000
2016-01-14,1000,3667,1000,1000
2016-01-15,433,1267,1000,1000
2016-01-16,200,600,1000,1000
2016-01-17,200,600,1000,1000
2016-01-18,200,600,1000,1000
2016-01-19,200,600,1000,1000
2016-01-20,200,600,1000,1000
2016-01-21,200,728,342,1000
2016-01-22,200,750,100,1000
2016-01-23,200,750,100,1000
2016-01-24,200,750,100,1000
2016-01-25,200,750,100,1000
2016-01-26,200,750,100,332
2016-01-27,200,750,100,100
2016-01-28,200,750,100,24
2016-01-29,200,750,100,7
2016-01-30,200,750,100,7
2016-01-31,200,750,100,7
2016-02-01,200,750,100,7
2016-02-02,200,750,100,7
2016-02-03,200,1331,250,239
2016-02-04,200,1500,300,300
2016-02-05,200,1500,300,300
2016-02-06,200,1500,300,300
2016-02-07,200,1500,300,300
2016-02-08,200,1500,300,300
2016-02-09,200,1500,300,300
2016-02-10,200,2417,300,81
2016-02-11,200,2500,300,50
2016-02-12,200,2500,300,50
2016-02-13,200,2094,154,50
2016-02-14,200,2000,100,50
2016-02-15,200,2000,100,50
2016-02-16,200,2000,100,50
2016-02-17,200,1125,100,50
2016-02-18,200,800,100,50
2016-02-19,200,800,100,50
2016-02-20,200,1675,60,50
2016-02-21,200,2000,50,50
2016-02-22,200,2000,50,50
2016-02-23,200,1677,50,50
2016-02-24,200,1500,30,50
2016-02-25,200,1500,25,50
2016-02-26,200,1208,25,50
2016-02-27,200,202,25,20
2016-02-28,200,784,25,7
2016-02-29,200,1200,25,7
2016-03-01,200,1200,25,7
2016-03-02,200,1200,25,7
2016-03-03,200,1200,25,7
2016-03-04,200,1200,25,7
2016-03-05,200,1200,25,7
2016-03-06,200,1200,25,7
2016-03-07,200,1200,25,7
2016-03-08,200,1200,25,7
2016-03-09,200,938,25,7
2016-03-10,200,900,25,7
2016-03-11,200,900,25,7
2016-03-12,200,900,25,7
2016-03-13,200,900,25,7
2016-03-14,200,900,25,7
2016-03-15,200,900,25,7
2016-03-16,200,669,25,7
2016-03-17,200,600,25,7
2016-03-18,200,600,25,7
2016-03-19,200,494,25,7
2016-03-20,200,600,25,7
2016-03-21,200,600,25,7
2016-03-22,200,444,25,7
2016-03-23,200,600,25,7
2016-03-24,200,600,25,7
2016-03-25,200,600,25,7
2016-03-26,200,600,25,7
2016-03-27,200,600,25,7
2016-03-28,200,600,25,7
2016-03-29,200,600,25,7
2016-03-30,200,600,25,7
2016-03-31,200,600,25,7
2016-04-01,200,600,25,7
2016-04-02,200,600,25,17
2016-04-03,200,600,25,21
2016-04-04,200,600,25,21
2016-04-05,200,600,25,21
2016-04-06,200,523,25,21
2016-04-07,200,500,25,21
2016-04-08,200,500,25,21
2016-04-09,200,500,25,21
2016-04-10,200,500,25,21
2016-04-11,200,500,25,21
2016-04-12,200,500,25,21
2016-04-13,200,500,25,21
2016-04-14,163,537,25,21
2016-04-15,150,550,25,21
2016-04-16,150,550,25,21
2016-04-17,150,550,25,21
2016-04-18,150,550,25,21
2016-04-19,150,550,25,21
2016-04-20,150,550,25,21
2016-04-21,150,550,25,21
2016-04-22,150,850,25,21
2016-04-23,150,1750,25,21
2016-04-24,150,2000,25,21
2016-04-25,150,2000,25,21
2016-04-26,150,2000,25,21
2016-04-27,150,2000,25,21
2016-04-28,51,583,25,21
2016-04-29,25,200,25,21
2016-04-30,25,200,25,21
2016-05-01,25,200,25,21
2016-05-02,25,200,25,21
2016-05-03,25,200,25,21
2016-05-04,25,1446,25,1339
2016-05-05,25,2000,25,2638
2016-05-06,25,8292,25,280
2016-05-07,25,9000,25,2800
2016-05-08,25,9000,2213,2800
2016-05-09,25,9000,4667,2800
2016-05-10,25,5625,1328,904
2016-05-11,25,4000,25,21
2016-05-12,25,4000,25,21
2016-05-13,25,1188,25,21
2016-05-14,25,713,25,21
2016-05-15,25,3292,25,21
2016-05-16,25,6500,25,21
2016-05-17,25,8000,25,21
2016-05-18,25,8000,633,21
2016-05-19,25,8000,2958,21
2016-05-20,25,8000,5542,385
2016-05-21,735,8000,6312,1359
2016-05-22,1000,8000,6500,2000
2016-05-23,1000,8000,6500,2000
2016-05-24,1792,8000,6500,2000
2016-05-25,2000,8000,6500,2000
2016-05-26,2000,8000,6500,2000
2016-05-27,2000,8000,3735,1333
2016-05-28,313,1513,25,0
2016-05-29,25,200,25,18
2016-05-30,25,200,25,21
2016-05-31,25,200,25,21
2016-06-01,25,200,25,21
2016-06-02,4695,4055,3570,2100
2016-06-03,8000,7000,6000,3325
2016-06-04,8000,9167,7000,3300
2016-06-05,8000,10000,8000,3300
2016-06-06,8000,10000,8000,3300
2016-06-07,8000,12062,8000,3300
2016-06-08,8000,13000,8000,2935
2016-06-09,8000,13000,8000,2800
2016-06-10,8000,15438,8000,2800
2016-06-11,8000,16000,8000,2800
2016-06-12,8000,16000,8000,2800
2016-06-13,8000,16000,8000,2800
2016-06-14,8000,16000,8000,2800
2016-06-15,8000,16000,2078,1400
2016-06-16,8000,16000,25,1000
2016-06-17,2354,16000,25,1000
2016-06-18,200,16000,25,1000
2016-06-19,200,16000,25,1000
2016-06-20,200,16000,25,1000
2016-06-21,200,10000,25,316
2016-06-22,200,2250,25,21
2016-06-23,200,671,25,21
2016-06-24,200,600,25,21
2016-06-25,200,600,25,21
2016-06-26,200,600,25,21
2016-06-27,200,600,25,21
2016-06-28,200,1050,25,21
2016-06-29,733,1200,25,21
2016-06-30,1000,1200,25,21
2016-07-01,1396,1200,25,21
2016-07-02,1500,1200,25,21
2016-07-03,1500,1200,25,21
2016-07-04,2292,1200,25,21
2016-07-05,1200,1200,25,21
2016-07-06,323,1200,25,21
2016-07-07,0,1200,25,153
2016-07-08,0,1200,25,200
2016-07-09,0,1200,25,342
2016-07-10,0,1200,25,400
2016-07-11,0,1200,25,400
2016-07-12,0,1200,25,400
2016-07-13,0,1200,25,400
2016-07-14,0,1200,25,400
2016-07-15,333,1200,381,400
2016-07-16,500,1200,500,400
2016-07-17,500,1200,500,400
2016-07-18,500,1200,500,400
2016-07-19,738,1200,500,132
2016-07-20,800,929,124,21
2016-07-21,800,700,25,21
2016-07-22,800,700,25,21
2016-07-23,556,546,25,21
2016-07-24,500,500,25,21
2016-07-25,500,500,25,21
2016-07-26,500,500,25,21
2016-07-27,500,396,25,21
2016-07-28,500,500,25,21
2016-07-29,500,500,25,21
2016-07-30,500,500,25,21
2016-07-31,500,500,25,21
2016-08-01,500,500,25,21
2016-08-02,500,500,25,21
2016-08-03,500,500,25,16
2016-08-04,500,500,25,21
2016-08-05,500,500,25,21
2016-08-06,500,500,25,21
2016-08-07,500,500,25,21
2016-08-08,500,500,25,21
2016-08-09,500,500,25,21
2016-08-10,967,706,25,21
2016-08-11,1200,800,25,21
2016-08-12,1200,800,25,21
2016-08-13,1200,800,25,21
2016-08-14,1200,800,25,21
2016-08-15,1200,800,25,21
2016-08-16,1200,800,25,21
2016-08-17,600,581,25,21
2016-08-18,300,500,25,21
2016-08-19,300,500,25,21
2016-08-20,300,500,25,21
2016-08-21,300,500,25,21
2016-08-22,300,500,25,21
2016-08-23,300,297,25,21
2016-08-24,300,200,25,21
2016-08-25,300,200,25,21
2016-08-26,300,200,25,21
2016-08-27,300,200,25,21
2016-08-28,300,200,25,21
2016-08-29,300,200,25,21
2016-08-30,300,200,738,21
2016-08-31,300,200,900,21
2016-09-01,300,762,900,21
2016-09-02,300,1000,900,21
2016-09-03,300,1000,900,21
2016-09-04,300,1000,900,21
2016-09-05,300,1000,900,21
2016-09-06,300,850,900,21
2016-09-07,300,800,900,21
2016-09-08,300,800,900,21
2016-09-09,300,800,900,20
2016-09-10,300,562,900,21
2016-09-11,300,500,900,21
2016-09-12,300,500,900,21
2016-09-13,300,500,900,21
2016-09-14,300,500,900,21
2016-09-15,300,500,264,21
2016-09-16,300,500,25,21
2016-09-17,300,500,25,21
2016-09-18,300,500,25,21
2016-09-19,300,500,25,21
2016-09-20,300,1521,3299,21
2016-09-21,300,2000,5500,21
2016-09-22,44,2000,5500,21
2016-09-23,0,2000,5500,21
2016-09-24,658,2000,5500,21
2016-09-25,800,2000,5500,21
2016-09-26,800,2000,5500,21
2016-09-27,800,2000,2823,21
2016-09-28,800,2000,127,21
2016-09-29,800,2000,3318,21
2016-09-30,800,2000,5000,21
2016-10-01,800,1146,5000,15
2016-10-02,800,1000,5000,7
2016-10-03,800,1000,5000,7
2016-10-04,800,615,5000,7
2016-10-05,800,500,5000,7
2016-10-06,800,500,5000,7
2016-10-07,800,500,5000,7
2016-10-08,800,2094,2792,7
2016-10-09,800,3000,2000,7
2016-10-10,800,3000,908,7
2016-10-11,800,3000,200,7
2016-10-12,800,3000,200,7
2016-10-13,800,3000,200,7
2016-10-14,362,1592,76,7
2016-10-15,200,800,25,7
2016-10-16,200,800,25,7
2016-10-17,200,800,25,7
2016-10-18,200,800,25,7
2016-10-19,200,800,25,7
2016-10-20,200,575,25,7
2016-10-21,200,500,25,7
2016-10-22,200,500,25,7
2016-10-23,200,500,25,7
2016-10-24,200,500,25,7
2016-10-25,200,500,25,7
2016-10-26,200,500,25,7
2016-10-27,200,500,25,7
2016-10-28,200,500,25,7
2016-10-29,200,500,25,7
2016-10-30,200,500,25,7
2016-10-31,200,500,25,7
2016-11-01,200,500,25,7
2016-11-02,200,500,25,7
2016-11-03,200,500,25,7
2016-11-04,200,500,25,7
2016-11-05,200,500,25,7
2016-11-06,200,500,25,7
2016-11-07,200,500,25,7
2016-11-08,200,500,25,7
2016-11-09,200,500,25,7
2016-11-10,200,500,25,7
2016-11-11,200,500,25,7
2016-11-12,200,500,25,7
2016-11-13,200,500,25,7
2016-11-14,200,500,25,7
2016-11-15,200,500,25,7
2016-11-16,200,500,25,7
2016-11-17,200,500,25,7
2016-11-18,115,500,25,7
2016-11-19,100,500,25,7
2016-11-20,100,500,25,7
2016-11-21,100,500,25,7
2016-11-22,100,500,25,7
2016-11-23,100,500,25,7
2016-11-24,100,500,25,7
2016-11-25,100,500,25,7
2016-11-26,100,500,25,7
2016-11-27,100,500,25,7
2016-11-28,100,500,25,7
2016-11-29,100,500,25,7
2016-11-30,100,500,25,128
2016-12-01,100,500,25,200
2016-12-02,100,500,25,200
2016-12-03,100,500,25,35
2016-12-04,100,500,25,7
2016-12-05,100,500,25,7
2016-12-06,100,885,25,7
2016-12-07,100,1823,25,7
2016-12-08,100,3750,25,7
2016-12-09,100,4000,25,7
2016-12-10,100,4000,25,7
2016-12-11,100,4000,25,7
2016-12-12,100,4000,25,7
2016-12-13,100,4000,25,7
2016-12-14,100,4000,25,7
2016-12-15,100,4000,25,7
2016-12-16,2392,4000,1130,7
2016-12-17,3000,3250,1500,507
2016-12-18,3000,3000,1500,600
2016-12-19,3000,3000,1500,600
2016-12-20,3000,3000,1500,600
2016-12-21,881,525,1500,600
2016-12-22,100,400,1500,600
2016-12-23,100,400,1500,600
2016-12-24,100,400,1500,600
2016-12-25,100,400,1500,600
2016-12-26,100,400,1500,600
2016-12-27,100,400,1500,600
2016-12-28,2543,400,1500,600
2016-12-29,3000,400,1500,600
2016-12-30,3000,888,317,600
2016-12-31,3000,1000,25,303
2017-01-01,3000,1000,25,200
2017-01-02,3000,1000,25,200
2017-01-03,3000,1000,25,200
2017-01-04,3833,1833,25,81
2017-01-05,4000,2000,25,50
2017-01-06,4000,2000,25,50
2017-01-07,1208,974,25,20
2017-01-08,400,500,25,7
2017-01-09,400,500,25,7
2017-01-10,400,500,25,7
2017-01-11,400,500,25,7
2017-01-12,400,500,25,7
2017-01-13,400,500,25,7
2017-01-14,400,500,25,7
2017-01-15,400,500,25,7
2017-01-16,400,500,25,7
2017-01-17,400,500,25,7
2017-01-18,400,500,25,7
2017-01-19,765,1521,25,7
2017-01-20,900,2000,25,7
2017-01-21,1153,2812,25,7
2017-01-22,1200,3000,25,7
2017-01-23,1200,3000,25,7
2017-01-24,1200,3375,25,7
2017-01-25,1200,3500,25,7
2017-01-26,1675,3500,25,7
2017-01-27,1800,3500,25,7
2017-01-28,1800,3500,25,7
2017-01-29,1800,3500,25,7
2017-01-30,1800,3500,25,7
2017-01-31,567,1544,25,7
2017-02-01,338,800,25,7
2017-02-02,300,800,25,7
2017-02-03,300,800,25,7
2017-02-04,300,800,25,7
2017-02-05,300,800,25,7
2017-02-06,300,800,25,7
2017-02-07,300,623,25,7
2017-02-08,300,600,25,7
2017-02-09,300,600,25,7
2017-02-10,300,600,25,7
2017-02-11,300,600,25,7
2017-02-12,300,600,25,7
2017-02-13,300,600,25,7
2017-02-14,300,600,25,7
2017-02-15,300,600,25,7
2017-02-16,215,600,25,7
2017-02-17,200,530,25,7
2017-02-18,200,500,25,7
2017-02-19,200,500,25,7
2017-02-20,200,500,25,7
2017-02-21,200,500,25,7
2017-02-22,200,500,25,7
2017-02-23,200,500,25,7
2017-02-24,200,500,25,7
2017-02-25,200,500,25,7
2017-02-26,200,500,25,7
2017-02-27,200,500,25,7
2017-02-28,200,500,25,7
2017-03-01,200,600,25,7
2017-03-02,200,600,25,7
2017-03-03,200,679,25,7
2017-03-04,200,600,25,7
2017-03-05,200,600,25,7
2017-03-06,200,600,25,7
2017-03-07,200,600,25,7
2017-03-08,200,600,25,7
2017-03-09,200,600,25,7
2017-03-10,200,600,25,7
2017-03-11,200,600,25,7
2017-03-12,200,600,25,7
2017-03-13,200,600,25,7
2017-03-14,200,600,25,7
2017-03-15,200,600,25,7
2017-03-16,200,600,25,7
2017-03-17,200,535,25,7
2017-03-18,200,500,25,7
2017-03-19,200,500,25,7
2017-03-20,200,500,25,7
2017-03-21,200,500,25,7
2017-03-22,200,500,25,7
2017-03-23,65,500,25,7
2017-03-24,25,500,25,7
2017-03-25,25,500,25,7
2017-03-26,25,500,25,7
2017-03-27,25,500,25,7
2017-03-28,25,500,25,7
2017-03-29,25,156,25,7
2017-03-30,25,297,25,7
2017-03-31,25,500,25,7
2017-04-01,25,4167,25,18
2017-04-02,25,6000,25,21
2017-04-03,25,6000,25,21
2017-04-04,25,6000,25,21
2017-04-05,1402,6000,25,21
2017-04-06,415,1433,25,21
2017-04-07,25,200,25,21
2017-04-08,25,2617,1238,622
2017-04-09,25,4000,3500,1000
2017-04-10,25,4000,4000,1000
2017-04-11,223,5542,6271,1703
2017-04-12,300,6000,7000,2000
2017-04-13,300,6000,7000,2000
2017-04-14,300,6000,7000,2000
2017-04-15,300,6000,7000,1351
2017-04-16,300,6000,7000,1000
2017-04-17,300,6000,7000,1000
2017-04-18,300,3333,7000,1000
2017-04-19,300,2000,3130,1000
2017-04-20,300,2000,643,1000
2017-04-21,300,2000,25,1000
2017-04-22,300,2000,4317,245
2017-04-23,300,2000,6000,21
2017-04-24,300,2000,6000,21
2017-04-25,1212,1138,6000,21
2017-04-26,1600,800,1929,21
2017-04-27,1600,800,200,21
2017-04-28,1600,800,200,21
2017-04-29,1600,800,200,21
2017-04-30,1600,800,200,21
2017-05-01,1600,800,65,21
2017-05-02,1600,800,25,21
2017-05-03,1600,800,25,21
2017-05-04,1600,800,25,21
2017-05-05,2492,2725,25,21
2017-05-06,3000,5458,322,201
2017-05-07,3000,6000,500,300
2017-05-08,3000,6000,500,300
2017-05-09,3000,8833,1312,701
2017-05-10,3000,8708,1500,800
2017-05-11,3000,5000,1500,800
2017-05-12,3000,5000,1500,800
2017-05-13,3000,5000,1500,800
2017-05-14,3000,5000,1500,800
2017-05-15,3000,5000,1500,800
2017-05-16,3000,3417,1500,800
2017-05-17,3000,2167,1500,800
2017-05-18,3000,2000,1500,800
2017-05-19,3000,2000,1500,800
2017-05-20,3000,1058,964,432
2017-05-21,355,200,25,21
2017-05-22,25,200,25,21
2017-05-23,25,200,25,21
2017-05-24,735,2071,25,21
