"Date and time","Nitrate plus nitrite as mg-N/L"
2018-02-10 16:00:00,0.485955
2018-02-10 16:15:00,0.493822
2018-02-10 16:30:00,0.482026
2018-02-10 16:45:00,0.492511
2018-02-10 17:00:00,0.482026
2018-02-10 17:15:00,0.497759
2018-02-10 17:30:00,0.468942
2018-02-10 17:45:00,0.501697
2018-02-10 18:00:00,0.496446
2018-02-10 18:15:00,0.503012
2018-02-10 18:30:00,0.482026
2018-02-10 18:45:00,0.504325
2018-02-10 19:00:00,0.496446
2018-02-10 19:15:00,0.503012
2018-02-10 19:30:00,0.489888
2018-02-10 19:45:00,0.501697
2018-02-10 20:00:00,0.510898
2018-02-10 20:15:00,0.503012
2018-02-10 20:30:00,0.509583
2018-02-10 20:45:00,0.510898
2018-02-10 21:00:00,0.516162
2018-02-10 21:15:00,0.533298
2018-02-10 21:30:00,0.546509
2018-02-10 21:45:00,0.586302
2018-02-10 22:00:00,0.575667
2018-02-10 22:15:00,0.570355
2018-02-10 22:30:00,0.563722
2018-02-10 22:45:00,0.579653
2018-02-10 23:00:00,0.545187
2018-02-10 23:15:00,0.522747
2018-02-10 23:30:00,0.518796
2018-02-10 23:45:00,0.506954
2018-02-11 00:00:00,0.501697
2018-02-11 00:15:00,0.501697
2018-02-11 00:30:00,0.497759
2018-02-11 00:45:00,0.492511
2018-02-11 01:00:00,0.483335
2018-02-11 01:15:00,0.488576
2018-02-11 01:30:00,0.484645
2018-02-11 01:45:00,0.491199
2018-02-11 02:00:00,0.483335
2018-02-11 02:15:00,0.482026
2018-02-11 02:30:00,0.487266
2018-02-11 02:45:00,0.496446
2018-02-11 03:00:00,0.487266
2018-02-11 03:15:00,0.495134
2018-02-11 03:30:00,0.492511
2018-02-11 03:45:00,0.497759
2018-02-11 04:00:00,0.503012
2018-02-11 04:15:00,0.514846
2018-02-11 04:30:00,0.510898
2018-02-11 04:45:00,0.524065
2018-02-11 05:00:00,0.524065
2018-02-11 05:15:00,0.524065
2018-02-11 05:30:00,0.525384
2018-02-11 05:45:00,0.531978
2018-02-11 06:00:00,0.525384
2018-02-11 06:15:00,0.526702
2018-02-11 06:30:00,0.526702
2018-02-11 06:45:00,0.535938
2018-02-11 07:00:00,0.52934
2018-02-11 07:15:00,0.538579
2018-02-11 07:30:00,0.531978
2018-02-11 07:45:00,0.537258
2018-02-11 08:00:00,0.534618
2018-02-11 08:15:00,0.541221
2018-02-11 08:30:00,0.528021
2018-02-11 08:45:00,0.541221
2018-02-11 09:00:00,0.526702
2018-02-11 09:15:00,0.528021
2018-02-11 09:30:00,0.534618
2018-02-11 09:45:00,0.538579
2018-02-11 10:00:00,0.526702
2018-02-11 10:15:00,0.528021
2018-02-11 10:30:00,0.522747
2018-02-11 10:45:00,0.52934
2018-02-11 11:00:00,0.524065
2018-02-11 11:15:00,0.524065
2018-02-11 11:30:00,0.52143
2018-02-11 11:45:00,0.522747
2018-02-11 12:00:00,0.516162
2018-02-11 12:15:00,0.513529
2018-02-11 12:30:00,0.508268
2018-02-11 12:45:00,0.500385
2018-02-11 13:00:00,0.493822
2018-02-11 13:15:00,0.491199
2018-02-11 13:30:00,0.484645
2018-02-11 13:45:00,0.478097
2018-02-11 14:00:00,0.472864
2018-02-11 14:15:00,0.458494
2018-02-11 14:30:00,0.457189
2018-02-11 14:45:00,0.43895
2018-02-11 15:00:00,0.420759
2018-02-11 15:15:00,0.406503
2018-02-11 15:30:00,0.440251
2018-02-11 15:45:00,0.476789
2018-02-11 16:00:00,0.485955
2018-02-11 16:15:00,0.531978
2018-02-11 16:30:00,0.542543
2018-02-11 16:45:00,0.578324
2018-02-11 17:00:00,0.587632
2018-02-11 17:15:00,0.608958
2018-02-11 17:30:00,0.60362
2018-02-11 17:45:00,0.607622
2018-02-11 18:00:00,0.588963
2018-02-11 18:15:00,0.588963
2018-02-11 18:30:00,0.570355
2018-02-11 18:45:00,0.578324
2018-02-11 19:00:00,0.579653
2018-02-11 19:15:00,0.574339
2018-02-11 19:30:00,0.583642
2018-02-11 19:45:00,0.590294
2018-02-11 20:00:00,0.610293
2018-02-11 20:15:00,0.631693
2018-02-11 20:30:00,0.635713
2018-02-11 20:45:00,0.653161
2018-02-11 21:00:00,0.62366
2018-02-11 21:15:00,0.602286
2018-02-11 21:30:00,0.584972
2018-02-11 21:45:00,0.558421
2018-02-11 22:00:00,0.549154
2018-02-11 22:15:00,0.567701
2018-02-11 22:30:00,0.563722
2018-02-11 22:45:00,0.517479
2018-02-11 23:00:00,0.495134
2018-02-11 23:15:00,0.461104
2018-02-11 23:30:00,0.458494
2018-02-11 23:45:00,0.441553
2018-02-12 00:00:00,0.422057
2018-02-12 00:15:00,0.418165
2018-02-12 00:30:00,0.414275
2018-02-12 00:45:00,0.392277
2018-02-12 01:00:00,0.37808
2018-02-12 01:15:00,0.360058
2018-02-12 01:30:00,0.358772
2018-02-12 01:45:00,0.358772
2018-02-12 02:00:00,0.372926
2018-02-12 02:15:00,0.394861
2018-02-12 02:30:00,0.396153
2018-02-12 02:45:00,0.415571
2018-02-12 03:00:00,0.411683
2018-02-12 03:15:00,0.420759
2018-02-12 03:30:00,0.436348
2018-02-12 03:45:00,0.437649
2018-02-12 04:00:00,0.441553
2018-02-12 04:15:00,0.449366
2018-02-12 04:30:00,0.45067
2018-02-12 04:45:00,0.458494
2018-02-12 05:00:00,0.459799
2018-02-12 05:15:00,0.474172
