"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","PARMean","PARMinimum","PARMaximum","PARVariance","PARNumPts","PARExpUncert","PARStdErMean","PARFinalQF","outPARMean","outPARMinimum","outPARMaximum","outPARVariance","outPARNumPts","outPARExpUncert","outPARStdErMean","outPARFinalQF"
"D06","UKFS","000","010","2018-02-01T00:00:00Z","2018-02-01T00:30:00Z",-0.01,-0.51,0.37,0.01,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T00:30:00Z","2018-02-01T01:00:00Z",-0.03,-0.54,0.57,0.04,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T01:00:00Z","2018-02-01T01:30:00Z",-0.03,-0.51,0.41,0.03,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T01:30:00Z","2018-02-01T02:00:00Z",-0.04,-0.47,0.34,0.01,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T02:00:00Z","2018-02-01T02:30:00Z",-0.04,-0.44,0.24,0.02,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T02:30:00Z","2018-02-01T03:00:00Z",-0.03,-0.41,0.28,0.01,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T03:00:00Z","2018-02-01T03:30:00Z",-0.04,-0.7,0.34,0.01,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T03:30:00Z","2018-02-01T04:00:00Z",-0.04,-0.51,0.31,0.03,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T04:00:00Z","2018-02-01T04:30:00Z",-0.04,-0.47,0.41,0.01,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T04:30:00Z","2018-02-01T05:00:00Z",-0.04,-0.47,0.28,0.01,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T05:00:00Z","2018-02-01T05:30:00Z",-0.04,-0.54,0.41,0.02,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T05:30:00Z","2018-02-01T06:00:00Z",-0.06,-0.51,0.31,0.02,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T06:00:00Z","2018-02-01T06:30:00Z",-0.03,-0.41,0.28,0.01,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T06:30:00Z","2018-02-01T07:00:00Z",-0.05,-0.41,0.24,0.01,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T07:00:00Z","2018-02-01T07:30:00Z",-0.03,-0.41,0.24,0.01,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T07:30:00Z","2018-02-01T08:00:00Z",-0.05,-0.51,0.28,0.01,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T08:00:00Z","2018-02-01T08:30:00Z",-0.04,-0.47,0.24,0.01,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T08:30:00Z","2018-02-01T09:00:00Z",-0.04,-0.51,0.31,0.02,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T09:00:00Z","2018-02-01T09:30:00Z",-0.04,-0.51,0.31,0.02,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"D06","UKFS","000","010","2018-02-01T09:30:00Z","2018-02-01T10:00:00Z",-0.04,-0.51,0.31,0.02,1800,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA
