startDateTime,endDateTime,PARMean,PARMinimum,PARMaximum,PARVariance,PARNumPts,PARExpUncert,PARStdErMean,PARFinalQF,outPARMean,outPARMinimum,outPARMaximum,outPARVariance,outPARNumPts,outPARExpUncert,outPARStdErMean,outPARFinalQF
2018-04-01T00:00:00Z,2018-04-01T00:30:00Z,26.52,14.45,42.65,93.71,1800,1.4,0.23,0,,,,,,,,
2018-04-01T00:30:00Z,2018-04-01T01:00:00Z,6.35,0.02,15.16,20.14,1800,0.52,0.11,0,,,,,,,,
2018-04-01T01:00:00Z,2018-04-01T01:30:00Z,0.01,-0.64,0.41,0.03,1800,0.09,0,0,,,,,,,,
2018-04-01T01:30:00Z,2018-04-01T02:00:00Z,-0.04,-0.54,0.44,0.01,1800,0.09,0,0,,,,,,,,
2018-04-01T02:00:00Z,2018-04-01T02:30:00Z,-0.04,-0.54,0.34,0.02,1800,0.09,0,0,,,,,,,,
2018-04-01T02:30:00Z,2018-04-01T03:00:00Z,-0.04,-0.57,0.28,0.02,1800,0.09,0,0,,,,,,,,
2018-04-01T03:00:00Z,2018-04-01T03:30:00Z,-0.04,-0.61,0.31,0.02,1800,0.09,0,0,,,,,,,,
2018-04-01T03:30:00Z,2018-04-01T04:00:00Z,-0.03,-0.51,0.34,0.02,1800,0.09,0,0,,,,,,,,
2018-04-01T04:00:00Z,2018-04-01T04:30:00Z,-0.04,-0.51,0.47,0.05,1800,0.09,0.01,0,,,,,,,,
2018-04-01T04:30:00Z,2018-04-01T05:00:00Z,-0.03,-0.57,0.47,0.05,1800,0.09,0.01,0,,,,,,,,
2018-04-01T05:00:00Z,2018-04-01T05:30:00Z,-0.04,-0.54,0.57,0.05,1800,0.09,0.01,0,,,,,,,,
2018-04-01T05:30:00Z,2018-04-01T06:00:00Z,-0.03,-0.57,0.6,0.06,1800,0.09,0.01,0,,,,,,,,
2018-04-01T06:00:00Z,2018-04-01T06:30:00Z,-0.04,-0.83,0.6,0.04,1800,0.09,0,0,,,,,,,,
2018-04-01T06:30:00Z,2018-04-01T07:00:00Z,-0.03,-0.54,0.31,0.04,1800,0.09,0,0,,,,,,,,
2018-04-01T07:00:00Z,2018-04-01T07:30:00Z,-0.05,-0.57,0.34,0.02,1800,0.09,0,0,,,,,,,,
2018-04-01T07:30:00Z,2018-04-01T08:00:00Z,-0.04,-0.64,0.44,0.02,1800,0.09,0,0,,,,,,,,
