"date","Q.lawrence_Ls","Q.wakarusa_Ls","Q.stranger_Ls","Q.desoto_Ls","Q.farmland_Ls","Nitrate.farmland_mgNL","Ammonia.farmland_mgNL","Nitrate.bowersock_mgNL","Ammonium.bowersock_mgNL","Nitrate.desoto_mgNL","Ammonium.desoto_mgNL","Nitrate.steve_mgNL","Ammonium.steve_mgNL","Nitrate.eric_mgNL","Ammonium.eric_mgNL","NitrateLoad.farmland_gNday","NitrateLoad.bowersock_gNday","NitrateLoad.steve_gNday","NitrateLoad.eric_gNday","NitrateLoad.desoto_gNday","AmmoniumLoad.bowersock_gNday","AmmoniumLoad.steve_gNday","AmmoniumLoad.eric_gNday","AmmoniumLoad.desoto_gNday","NitrateSupply.eric_gNm2day","NitrateSupply.steve_gNm2day","NitrateSupply.desoto_gNm2day"
2018-02-01,67456.91022,11352.08713,824.171121,72856.76667,13.375122,484,240,0.219786510416667,0.084,0.842916666666667,0.068,NA,0.082,NA,0.08,559315.5017472,1280976.6730243,NA,NA,5306012.60304276,489575.271612672,477918.717526656,466262.16344064,428048.075539584,NA,NA,384.298732747357
2018-02-02,66959.39978,11213.15783,617.272011,75567.51033,12.80731,543,263,0.236393364583333,NA,0.829270833333333,NA,NA,NA,NA,NA,600857.510112,1367604.67430661,NA,NA,5414336.54763417,NA,NA,NA,NA,NA,NA,392.144314306813
2018-02-03,73612.86456,11068.3292,724.519503,75800.534,0,440.333333333333,229.666666666667,0.23385334375,NA,0.816770833333333,NA,NA,NA,NA,NA,0,1487342.69456013,NA,NA,5349167.883846,NA,NA,NA,NA,NA,NA,387.424341554719
2018-02-04,85968.12261,11065.08457,673.347163,94145.74796,0,337.666666666667,196.333333333333,0.205412635416667,NA,0.759166666666667,NA,NA,NA,NA,NA,0,1525732.29738517,NA,NA,6175207.90019232,NA,NA,NA,NA,NA,NA,447.251966407787
2018-02-05,82467.11209,11032.9332,519.377307,87251.14,7.003012,235,163,0.117986097222222,NA,0.677395833333333,NA,NA,NA,NA,NA,142189.155648,840669.641684926,NA,NA,5106547.47078,NA,NA,NA,NA,NA,NA,369.852065675382
2018-02-06,67613.24256,11080.7178,516.07368,72420.216,14.258384,636,327,NA,NA,0.694375,NA,NA,NA,NA,NA,783503.9041536,NA,NA,NA,4344778.438704,NA,NA,NA,NA,NA,NA,314.679397313247
2018-02-07,61361.91567,7901.98002,512.770053,76010.89377,11.924047,601,328,0.246633538461538,NA,0.816875,NA,NA,NA,NA,NA,619172.8341408,1307569.51196386,NA,NA,5364696.86049906,NA,NA,NA,NA,NA,NA,388.549059209029
2018-02-08,87013.20022,262.597025,614.221731,74774.05,7.255373,615,316,0.167198645833333,NA,0.900104166666667,NA,NA,NA,NA,NA,385521.499728,1256989.47088971,NA,NA,5815103.09445,NA,NA,NA,NA,NA,NA,421.170644922865
2018-02-09,95697.78139,218.402169,628.381255,95482.31891,25.67771,476,235,0.15563734375,NA,0.8190625,NA,NA,NA,NA,NA,1056031.772544,1286854.43025379,NA,NA,6756997.26230397,NA,NA,NA,NA,NA,NA,489.389241855868
2018-02-10,76464.49445,201.940079,582.854133,80755.974,16.781992,507,259,0.125824875,NA,0.824583333333333,NA,0.513194361111111,NA,NA,NA,735131.8031616,831266.103407856,3390435.13336864,NA,5753378.611656,NA,NA,NA,NA,NA,298.980170491062,416.70012397016
2018-02-11,68432.26667,188.088445,599.844213,70455.738,12.050227,538,283,0.102012447916667,NA,0.858854166666667,NA,0.52200203125,NA,NA,NA,560133.1116864,603153.47861218,3086361.98249314,NA,5228168.03829,NA,NA,NA,NA,NA,272.165959655479,378.66068213877
2018-02-12,67202.1106,185.976483,623.67752,74866.47289,22.5232,569,307,0.08493596875,NA,0.837395833333333,NA,0.552049010416667,NA,NA,NA,1107276.54912,493160.518009928,3205341.38776102,NA,5416664.18006439,NA,NA,NA,NA,NA,282.65797070203,392.312897810125
2018-02-13,70289.57344,192.482703,622.246618,69345.54724,14.447655,569,312,0.0977105104166667,NA,0.864375,NA,0.392955552083333,NA,NA,NA,710269.836048,593397.800449244,2386426.59102101,NA,5178864.15897768,NA,NA,NA,NA,NA,210.443261994798,375.089748604163
2018-02-14,75356.11756,205.204463,652.180615,68673.90336,15.835639,578,304,0.140298189473684,NA,0.853020833333333,NA,0.41928884375,NA,NA,NA,790819.1431488,913449.040655107,2729892.62026554,NA,5061335.35153536,NA,NA,NA,NA,NA,240.731271628354,366.577486168998
2018-02-15,75419.47997,228.935429,774.262217,77340.26,16.971263,572,290,0.167659779745713,0.082,0.904078947368421,0.099,0.457311236111111,0.093,NA,0.071,838733.3944704,1092511.87778647,2979951.17287143,NA,6041234.95344,534331.931691456,606010.605454944,462653.257927968,661537.647936,NA,262.78229037667,437.548703805316
2018-02-16,64671.87152,222.516954,820.347031,72514.60533,11.545506,554,280,0.195021370017741,NA,0.939583333333333,NA,0.690991774193548,NA,NA,NA,552632.5719936,1089711.09954216,3861019.9793107,NA,5886735.6606894,NA,NA,NA,NA,NA,340.477952320168,426.358778930209
2018-02-17,59181.12878,208.650571,756.302145,64299.78367,0,458.5,235.75,0.222382960289769,NA,0.885,NA,0.695709489583333,NA,NA,NA,0,1137099.56642379,3557336.21825754,NA,4916618.65854288,NA,NA,NA,NA,NA,313.698079211423,356.096085937776
