"DateTime_UTC","Q_m3s","Nitrate_mgL","A_m2","U_mgNm2day"
2018-01-31 23:00:00,70.22565,0.9,75.3,NA
2018-02-01 00:00:00,70.013275,0.915,75.3,-1.6142243947759
2018-02-01 01:00:00,69.6593,0.91,75.3,-1.00378947227341
2018-02-01 02:00:00,69.234575,0.9075,75.3,-0.665112794245931
2018-02-01 03:00:00,68.739025,0.9,75.3,0.198105664654503
2018-02-01 04:00:00,68.385075,0.86,75.3,4.46727318774153
2018-02-01 05:00:00,67.818725,0.84,75.3,6.58026321441506
2018-02-01 06:00:00,68.243475,0.84,75.3,6.68703469519796
2018-02-01 07:00:00,67.9603,0.875,75.3,3.06849497732486
2018-02-01 08:00:00,68.1727,0.8775,75.3,2.88161159288513
2018-02-01 09:00:00,68.45585,0.875,75.3,3.22239606746058
2018-02-01 10:00:00,68.8098,0.8975,75.3,0.925444977300801
2018-02-01 11:00:00,68.9514,0.895,75.3,1.25854561554284
2018-02-01 12:00:00,69.588525,0.8925,75.3,1.60443136892927
2018-02-01 13:00:00,70.013275,0.9075,75.3,0.0672593497823395
2018-02-01 14:00:00,71.004375,0.87,75.3,4.22911086276769
2018-02-01 15:00:00,71.429125,0.8875,75.3,2.4016827895242
2018-02-01 16:00:00,72.06625,0.835,75.3,8.30778868650399
2018-02-01 17:00:00,73.340525,0.87,75.3,4.57962210127511
2018-02-01 18:00:00,73.694475,0.835,75.3,8.63708177439368
2018-02-01 19:00:00,74.89795,0.835,75.3,8.85008239215513
2018-02-01 20:00:00,75.4643,0.8,75.3,13.0492732265438
2018-02-01 21:00:00,75.959825,0.8475,75.3,7.6620596037444
2018-02-01 22:00:00,76.3138,0.88,75.3,3.95885058427292
2018-02-01 23:00:00,76.45535,0.87,75.3,5.21481013586363
2018-02-02 00:00:00,76.880125,0.795,75.3,14.1803705938247
2018-02-02 01:00:00,77.0925,0.83,75.3,9.80062231040422
2018-02-02 02:00:00,77.0925,0.8,75.3,13.08395421792
2018-02-02 03:00:00,77.021725,0.7675,75.3,16.6482285979053
2018-02-02 04:00:00,77.1633,0.7625,75.3,17.0000519135857
2018-02-02 05:00:00,77.2341,0.7525,75.3,17.9307358811214
2018-02-02 06:00:00,77.1633,0.7575,75.3,17.0494706691484
2018-02-02 07:00:00,77.2341,0.78,75.3,14.1220002594763
2018-02-02 08:00:00,77.0217,0.78,75.3,13.8118592425631
2018-02-02 09:00:00,76.880125,0.8125,75.3,9.67514868641165
2018-02-02 10:00:00,76.59695,0.8125,75.3,9.36970368349076
2018-02-02 11:00:00,76.3138,0.8325,75.3,6.7202710535497
2018-02-02 12:00:00,75.818225,0.8275,75.3,6.9922527328486
2018-02-02 13:00:00,75.818225,0.855,75.3,3.5204050217467
2018-02-02 14:00:00,75.959825,0.83,75.3,6.1782956804796
2018-02-02 15:00:00,75.74745,0.8425,75.3,4.43884646611429
2018-02-02 16:00:00,75.676675,0.8375,75.3,4.74973227111083
2018-02-02 17:00:00,75.6059,0.8575,75.3,2.15474911465
2018-02-02 18:00:00,75.3227,0.845,75.3,3.3285568770933
2018-02-02 19:00:00,75.535075,0.8575,75.3,1.62059496110979
2018-02-02 20:00:00,74.89795,0.85,75.3,2.20652460725819
2018-02-02 21:00:00,74.4732,0.86,75.3,0.786982312858562
2018-02-02 22:00:00,74.75635,0.8525,75.3,1.38843994275758
2018-02-02 23:00:00,74.75635,0.8275,75.3,3.99774949035372
2018-02-03 00:00:00,74.897925,0.875,75.3,-1.72684476841136
2018-02-03 01:00:00,74.3316,0.835,75.3,2.92772047094623
2018-02-03 02:00:00,74.4732,0.8325,75.3,3.29101694468127
2018-02-03 03:00:00,74.3316,0.8125,75.3,5.6412174927988
2018-02-03 04:00:00,74.2608,0.8,75.3,7.13398012350598
2018-02-03 05:00:00,74.4024,0.8025,75.3,6.93315565492031
2018-02-03 06:00:00,74.614775,0.795,75.3,7.88478381524112
2018-02-03 07:00:00,74.4732,0.8125,75.3,5.938139269751
2018-02-03 08:00:00,74.4024,0.8075,75.3,6.5757764974502
2018-02-03 09:00:00,74.2608,0.855,75.3,1.21277662099602
2018-02-03 10:00:00,74.4732,0.865,75.3,0.143087693247009
2018-02-03 11:00:00,74.4732,0.875,75.3,-0.930070006105571
2018-02-03 12:00:00,74.5377455882353,0.874705882352941,75.3,-0.825573368085063
2018-02-03 13:00:00,74.6022911764706,0.874411764705882,75.3,-0.720894357326841
2018-02-03 14:00:00,74.6668367647059,0.874117647058824,75.3,-0.61603297383097
2018-02-03 15:00:00,74.7313823529412,0.873823529411765,75.3,-0.51098921759741
2018-02-03 16:00:00,74.7959279411765,0.873529411764706,75.3,-0.405763088626201
2018-02-03 17:00:00,74.8604735294118,0.873235294117647,75.3,-0.300354586917291
2018-02-03 18:00:00,74.9250191176471,0.872941176470588,75.3,-0.194763712470706
2018-02-03 19:00:00,74.9895647058824,0.872647058823529,75.3,-0.088990465286458
2018-02-03 20:00:00,75.0541102941176,0.872352941176471,75.3,0.0169651546354908
2018-02-03 21:00:00,75.118655882353,0.872058823529412,75.3,0.123103147295089
2018-02-03 22:00:00,75.1832014705882,0.871764705882353,75.3,0.229423512692363
2018-02-03 23:00:00,75.2477470588235,0.871470588235294,75.3,0.335926250827325
2018-02-04 00:00:00,75.3122926470588,0.871176470588235,75.3,0.442611361699949
2018-02-04 01:00:00,75.3768382352941,0.870882352941176,75.3,0.45860895874733
2018-02-04 02:00:00,75.4413838235294,0.870588235294118,75.3,0.474633303796211
2018-02-04 03:00:00,75.5059294117647,0.870294117647059,75.3,0.490684396846644
2018-02-04 04:00:00,75.570475,0.87,75.3,0.506762237898602
2018-02-04 05:00:00,75.6350205882353,0.869705882352941,75.3,0.522866826952047
2018-02-04 06:00:00,75.6995661764706,0.869411764705882,75.3,0.538998164007056
2018-02-04 07:00:00,75.7641117647059,0.869117647058824,75.3,0.555156249063579
2018-02-04 08:00:00,75.8286573529412,0.868823529411765,75.3,0.57134108212164
2018-02-04 09:00:00,75.8932029411765,0.868529411764706,75.3,0.587552663181201
2018-02-04 10:00:00,75.9577485294118,0.868235294117647,75.3,0.6037909922423
2018-02-04 11:00:00,76.0222941176471,0.867941176470588,75.3,0.620056069304938
2018-02-04 12:00:00,76.0868397058824,0.867647058823529,75.3,0.636347894369076
2018-02-04 13:00:00,76.1513852941176,0.867352941176471,75.3,0.652666467434766
2018-02-04 14:00:00,76.2159308823529,0.867058823529412,75.3,0.669011788501968
2018-02-04 15:00:00,76.2804764705882,0.866764705882353,75.3,0.685383857570709
2018-02-04 16:00:00,76.3450220588235,0.866470588235294,75.3,0.701782674640963
2018-02-04 17:00:00,76.4095676470588,0.866176470588235,75.3,0.71820823971273
2018-02-04 18:00:00,76.4741132352941,0.865882352941176,75.3,0.734660552786048
2018-02-04 19:00:00,76.5386588235294,0.865588235294118,75.3,0.751139613860879
2018-02-04 20:00:00,76.6032044117647,0.865294117647059,75.3,0.767645422937235
2018-02-04 21:00:00,76.66775,0.865,75.3,0.784177980015118
2018-02-04 22:00:00,76.7322955882353,0.864705882352941,75.3,0.800737285094526
2018-02-04 23:00:00,76.7968411764706,0.864411764705882,75.3,0.817323338175459
2018-02-05 00:00:00,76.8613867647059,0.864117647058824,75.3,0.833936139257919
2018-02-05 01:00:00,76.9259323529412,0.863823529411765,75.3,0.834636450570605
2018-02-05 02:00:00,76.9904779411765,0.863529411764706,75.3,0.835336761883265
2018-02-05 03:00:00,77.0550235294118,0.863235294117647,75.3,0.836037073195938
2018-02-05 04:00:00,77.1195691176471,0.862941176470588,75.3,0.836737384508625
2018-02-05 05:00:00,77.1841147058824,0.862647058823529,75.3,0.837437695821285
2018-02-05 06:00:00,77.2486602941177,0.862352941176471,75.3,0.838138007133971
2018-02-05 07:00:00,77.3132058823529,0.862058823529412,75.3,0.838838318446631
2018-02-05 08:00:00,77.3777514705882,0.861764705882353,75.3,0.839538629759317
2018-02-05 09:00:00,77.4422970588235,0.861470588235294,75.3,0.840238941071991
2018-02-05 10:00:00,77.5068426470588,0.861176470588235,75.3,0.840939252384637
2018-02-05 11:00:00,77.5713882352941,0.860882352941176,75.3,0.841639563697337
2018-02-05 12:00:00,77.6359338235294,0.860588235294118,75.3,0.842339875009997
2018-02-05 13:00:00,77.7004794117647,0.860294117647059,75.3,0.843040186322684
2018-02-05 14:00:00,77.765025,0.86,75.3,0.843740497635357
2018-02-05 15:00:00,77.8295705882353,0.859705882352941,75.3,0.844440808948003
2018-02-05 16:00:00,77.8941161764706,0.859411764705882,75.3,0.84514112026069
2018-02-05 17:00:00,77.9586617647059,0.859117647058824,75.3,0.845841431573363
2018-02-05 18:00:00,78.0232073529412,0.858823529411765,75.3,0.846541742886036
2018-02-05 19:00:00,78.0877529411765,0.858529411764706,75.3,0.847242054198709
2018-02-05 20:00:00,78.1522985294118,0.858235294117647,75.3,0.847942365511369
2018-02-05 21:00:00,78.2168441176471,0.857941176470588,75.3,0.848642676824056
2018-02-05 22:00:00,78.2813897058824,0.857647058823529,75.3,0.849342988136729
2018-02-05 23:00:00,78.3459352941177,0.857352941176471,75.3,0.850043299449402
2018-02-06 00:00:00,78.4104808823529,0.857058823529412,75.3,0.850743610762075
2018-02-06 01:00:00,78.4750264705882,0.856764705882353,75.3,0.851443922074748
2018-02-06 02:00:00,78.5395720588235,0.856470588235294,75.3,0.852144233387422
2018-02-06 03:00:00,78.6041176470588,0.856176470588235,75.3,0.852844544700095
2018-02-06 04:00:00,78.6686632352941,0.855882352941176,75.3,0.853544856012768
2018-02-06 05:00:00,78.7332088235294,0.855588235294118,75.3,0.854245167325441
2018-02-06 06:00:00,78.7977544117647,0.855294117647059,75.3,0.854945478638114
2018-02-06 07:00:00,78.8623,0.855,75.3,0.855645789950788
2018-02-06 08:00:00,78.9268455882353,0.854705882352941,75.3,0.856346101263461
