dateTime_UTC,nitrateNitrite,temp_C,DO_mgL,DO_sat,Q,PAR,barom.pressure
2/20/2018 0:00,2.797122,7.554,0.054,0.46458,56.916768,131.69,96.08055
2/20/2018 0:10,NA,7.544,0.051,0.438662,56.6336,93.02,96.092
2/20/2018 0:15,2.769426,NA,NA,NA,56.6336,127.44,96.08055
2/20/2018 0:20,NA,7.525,0.051,0.438456,56.916768,102.67,96.09036
2/20/2018 0:30,2.752908,7.525,0.049,0.421262,56.916768,106.22,96.09036
2/20/2018 0:40,NA,7.516,0.049,0.421168,56.6336,147.89,96.10999
2/20/2018 0:45,2.757301,NA,NA,NA,56.916768,87.24,96.12144
2/20/2018 0:50,NA,7.544,0.048,0.412858,56.6336,144.73,96.11817
2/20/2018 1:00,2.758831,7.516,0.049,0.421168,56.6336,133.09,96.11653
2/20/2018 1:10,NA,7.535,0.047,0.404167,56.6336,132.78,96.10017
2/20/2018 1:15,2.749853,NA,NA,NA,56.6336,100.04,96.10999
2/20/2018 1:20,NA,7.535,0.047,0.404167,56.067264,58.16,96.1149
2/20/2018 1:30,2.751574,7.506,0.046,0.395285,56.067264,77.7,96.1198
2/20/2018 1:40,NA,7.525,0.045,0.386873,56.6336,111.27,96.11326
2/20/2018 1:45,2.751,NA,NA,NA,56.6336,70.1,96.12961
2/20/2018 1:50,NA,7.544,0.046,0.395656,56.6336,100.36,96.13452
2/20/2018 2:00,2.767646,7.535,0.046,0.395568,56.916768,70.07,96.12961
2/20/2018 2:10,NA,7.497,0.044,0.378015,56.6336,101.55,96.12961
2/20/2018 2:15,2.777039,NA,NA,NA,56.6336,96.88,96.14434
2/20/2018 2:20,NA,7.535,0.044,0.378369,56.916768,116.41,96.14925
2/20/2018 2:30,2.790082,7.563,0.044,0.378631,56.6336,83.21,96.16887
2/20/2018 2:40,NA,7.535,0.045,0.386969,56.6336,78.11,96.15906
2/20/2018 2:45,2.791811,NA,NA,NA,56.6336,82.89,96.14761
2/20/2018 2:50,NA,7.544,0.044,0.378453,56.6336,67.02,96.13943
2/20/2018 3:00,2.798928,7.535,0.044,0.378369,56.916768,51.56,96.15743
2/20/2018 3:10,NA,7.535,0.045,0.386969,56.6336,42.14,96.17869
2/20/2018 3:15,2.813205,NA,NA,NA,56.6336,57.89,96.16887
2/20/2018 3:20,NA,7.525,0.044,0.378276,56.6336,62.37,96.16887
2/20/2018 3:30,2.813782,7.544,0.044,0.378453,56.6336,64.19,96.17869
2/20/2018 3:40,NA,7.516,0.043,0.369597,56.6336,43.9,96.19831
2/20/2018 3:45,2.800334,NA,NA,NA,56.6336,27.86,96.20813
2/20/2018 3:50,NA,7.535,0.043,0.36977,56.6336,28.15,96.21795
2/20/2018 4:00,2.77072,7.516,0.041,0.352406,56.6336,24.99,96.22285
2/20/2018 4:10,NA,7.506,0.043,0.369506,56.916768,22.28,96.22776
2/20/2018 4:15,2.75979,NA,NA,NA,56.6336,18.97,96.22776
2/20/2018 4:20,NA,7.525,0.041,0.352485,56.6336,15.22,96.2343
2/20/2018 4:30,2.775743,7.525,0.04,0.343887,56.6336,10.37,96.24739
2/20/2018 4:40,NA,7.516,0.041,0.352406,56.6336,8.78,96.24739
2/20/2018 4:45,2.802069,NA,NA,NA,56.916768,6.19,96.24739
2/20/2018 4:50,NA,7.544,0.04,0.344049,56.916768,3.74,96.24739
2/20/2018 5:00,2.834241,7.516,0.04,0.343811,56.6336,1.54,96.25066
2/20/2018 5:10,NA,7.497,0.04,0.34365,56.6336,0.31,96.27029
2/20/2018 5:15,2.845648,NA,NA,NA,56.6336,0.2,96.27683
2/20/2018 5:20,NA,7.525,0.039,0.33529,56.916768,0.1,96.27683
2/20/2018 5:30,2.830431,7.516,0.039,0.335216,56.916768,-0.05,96.27683
2/20/2018 5:40,NA,7.487,0.038,0.326387,56.916768,-0.06,96.27683
2/20/2018 5:45,2.797686,NA,NA,NA,56.6336,-0.03,96.27683
2/20/2018 5:50,NA,7.506,0.04,0.343726,56.916768,-0.06,96.27683
2/20/2018 6:00,2.771475,7.478,0.037,0.317727,56.916768,-0.06,96.28664
2/20/2018 6:10,NA,7.487,0.037,0.317798,56.916768,-0.08,96.28992
2/20/2018 6:15,2.770323,NA,NA,NA,57.199936,-0.15,96.28664
2/20/2018 6:20,NA,7.478,0.036,0.30914,56.916768,-0.02,96.27683
2/20/2018 6:30,2.767265,7.439,0.036,0.308842,56.916768,0,96.27683
2/20/2018 6:40,NA,7.449,0.038,0.32608,56.916768,-0.04,96.26702
2/20/2018 6:45,2.753698,NA,NA,NA,56.916768,-0.01,96.29646
2/20/2018 6:50,NA,7.411,0.036,0.308628,56.916768,-0.01,96.26702
2/20/2018 7:00,2.731924,7.439,0.036,0.308842,56.916768,-0.03,96.2572
2/20/2018 7:10,NA,7.42,0.039,0.334422,56.6336,-0.02,96.2572
2/20/2018 7:15,2.72906,NA,NA,NA,56.916768,-0.08,96.2801
2/20/2018 7:20,NA,7.411,0.036,0.308628,56.916768,-0.02,96.26865
2/20/2018 7:30,2.747808,7.382,0.037,0.316974,56.916768,-0.06,96.2572
2/20/2018 7:40,NA,7.392,0.036,0.308483,56.916768,-0.11,96.28664
2/20/2018 7:45,2.781317,NA,NA,NA,56.916768,-0.06,96.2572
2/20/2018 7:50,NA,7.382,0.037,0.316974,56.916768,-0.03,96.24739
2/20/2018 8:00,2.814172,7.373,0.037,0.316903,56.916768,-0.08,96.23757
2/20/2018 8:10,NA,7.334,0.037,0.316597,56.916768,-0.05,96.23757
2/20/2018 8:15,2.835396,NA,NA,NA,56.916768,-0.06,96.21467
2/20/2018 8:20,NA,7.325,0.036,0.307972,56.916768,-0.09,96.23594
2/20/2018 8:30,2.828655,7.306,0.036,0.307827,56.916768,-0.05,96.2343
2/20/2018 8:40,NA,7.315,0.037,0.316449,56.916768,-0.06,96.24739
2/20/2018 8:45,2.79542,NA,NA,NA,57.199936,-0.08,96.24411
2/20/2018 8:50,NA,7.296,0.036,0.307751,56.916768,-0.04,96.24739
