MiniDOT Logger Concatenated Data File
Sensor:             7392-419694
Concatenation Date: 2018Apr07 15:30:50 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 246.89 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1519058280,           2018-02-19 16:38:00,           2018-02-19 10:38:00,      3.520000,     21.924000,          7.716000,                    90.817795,      0.983000
                1519058880,           2018-02-19 16:48:00,           2018-02-19 10:48:00,      3.520000,     21.891000,          7.770000,                    91.395044,      0.986000
                1519059480,           2018-02-19 16:58:00,           2018-02-19 10:58:00,      3.520000,     19.180000,          8.187000,                    91.279286,      0.984000
                1519060080,           2018-02-19 17:08:00,           2018-02-19 11:08:00,      3.520000,     18.751000,          8.245000,                    91.131022,      0.983000
                1519060680,           2018-02-19 17:18:00,           2018-02-19 11:18:00,      3.520000,     18.153000,          8.360000,                    91.280988,      0.983000
                1519061280,           2018-02-19 17:28:00,           2018-02-19 11:28:00,      3.520000,     17.419000,          8.493000,                    91.339138,      0.982000
                1519061880,           2018-02-19 17:38:00,           2018-02-19 11:38:00,      3.520000,     16.374000,          8.682000,                    91.350615,      0.981000
                1519062480,           2018-02-19 17:48:00,           2018-02-19 11:48:00,      3.520000,     15.219000,          8.927000,                    91.642611,      0.981000
                1519063080,           2018-02-19 17:58:00,           2018-02-19 11:58:00,      3.520000,     13.973000,          9.191000,                    91.827750,      0.981000
                1519063680,           2018-02-19 18:08:00,           2018-02-19 12:08:00,      3.520000,      8.301000,          9.936000,                    87.061395,      0.979000
                1519064280,           2018-02-19 18:18:00,           2018-02-19 12:18:00,      3.520000,      7.867000,         11.335000,                    98.272384,      0.983000
                1519064880,           2018-02-19 18:28:00,           2018-02-19 12:28:00,      3.510000,      7.715000,         11.483000,                    99.184599,      0.986000
                1519065480,           2018-02-19 18:38:00,           2018-02-19 12:38:00,      3.510000,      7.639000,         11.502000,                    99.163081,      0.986000
                1519066080,           2018-02-19 18:48:00,           2018-02-19 12:48:00,      3.510000,      7.639000,          1.599000,                    13.785582,      0.974000
                1519066680,           2018-02-19 18:58:00,           2018-02-19 12:58:00,      3.510000,      7.592000,          0.452000,                     3.892353,      0.964000
                1519067280,           2018-02-19 19:08:00,           2018-02-19 13:08:00,      3.510000,      7.601000,          0.321000,                     2.764873,      0.966000
                1519067880,           2018-02-19 19:18:00,           2018-02-19 13:18:00,      3.510000,      7.611000,          0.277000,                     2.386475,      0.967000
                1519068480,           2018-02-19 19:28:00,           2018-02-19 13:28:00,      3.500000,      7.601000,          0.239000,                     2.058581,      0.967000
                1519069080,           2018-02-19 19:38:00,           2018-02-19 13:38:00,      3.500000,      7.592000,          0.210000,                     1.808394,      0.968000
                1519069680,           2018-02-19 19:48:00,           2018-02-19 13:48:00,      3.500000,      7.573000,          0.190000,                     1.635400,      0.968000
                1519070280,           2018-02-19 19:58:00,           2018-02-19 13:58:00,      3.500000,      7.592000,          0.167000,                     1.438104,      0.968000
                1519070880,           2018-02-19 20:08:00,           2018-02-19 14:08:00,      3.500000,      7.582000,          0.148000,                     1.274173,      0.968000
                1519071480,           2018-02-19 20:18:00,           2018-02-19 14:18:00,      3.500000,      7.582000,          0.131000,                     1.127815,      0.968000
                1519072080,           2018-02-19 20:28:00,           2018-02-19 14:28:00,      3.500000,      7.573000,          0.119000,                     1.024277,      0.968000
                1519072680,           2018-02-19 20:38:00,           2018-02-19 14:38:00,      3.500000,      7.592000,          0.112000,                     0.964477,      0.968000
                1519073280,           2018-02-19 20:48:00,           2018-02-19 14:48:00,      3.500000,      7.611000,          0.106000,                     0.913236,      0.968000
                1519073880,           2018-02-19 20:58:00,           2018-02-19 14:58:00,      3.500000,      7.611000,          0.099000,                     0.852928,      0.968000
                1519074480,           2018-02-19 21:08:00,           2018-02-19 15:08:00,      3.500000,      7.611000,          0.093000,                     0.801235,      0.968000
                1519075080,           2018-02-19 21:18:00,           2018-02-19 15:18:00,      3.490000,      7.592000,          0.092000,                     0.792249,      0.968000
                1519075680,           2018-02-19 21:28:00,           2018-02-19 15:28:00,      3.490000,      7.582000,          0.093000,                     0.800663,      0.968000
                1519076280,           2018-02-19 21:38:00,           2018-02-19 15:38:00,      3.490000,      7.611000,          0.090000,                     0.775389,      0.968000
                1519076880,           2018-02-19 21:48:00,           2018-02-19 15:48:00,      3.490000,      7.582000,          0.086000,                     0.740398,      0.968000
                1519077480,           2018-02-19 21:58:00,           2018-02-19 15:58:00,      3.490000,      7.601000,          0.083000,                     0.714905,      0.968000
                1519078080,           2018-02-19 22:08:00,           2018-02-19 16:08:00,      3.490000,      7.582000,          0.081000,                     0.697352,      0.968000
                1519078680,           2018-02-19 22:18:00,           2018-02-19 16:18:00,      3.490000,      7.611000,          0.079000,                     0.680619,      0.968000
                1519079280,           2018-02-19 22:28:00,           2018-02-19 16:28:00,      3.490000,      7.582000,          0.078000,                     0.671524,      0.968000
                1519079880,           2018-02-19 22:38:00,           2018-02-19 16:38:00,      3.490000,      7.611000,          0.074000,                     0.637542,      0.968000
                1519080480,           2018-02-19 22:48:00,           2018-02-19 16:48:00,      3.490000,      7.611000,          0.072000,                     0.620311,      0.968000
                1519081080,           2018-02-19 22:58:00,           2018-02-19 16:58:00,      3.490000,      7.620000,          0.069000,                     0.594597,      0.968000
                1519081680,           2018-02-19 23:08:00,           2018-02-19 17:08:00,      3.490000,      7.592000,          0.067000,                     0.576964,      0.968000
                1519082280,           2018-02-19 23:18:00,           2018-02-19 17:18:00,      3.490000,      7.601000,          0.065000,                     0.559865,      0.968000
                1519082880,           2018-02-19 23:28:00,           2018-02-19 17:28:00,      3.490000,      7.592000,          0.063000,                     0.542518,      0.968000
                1519083480,           2018-02-19 23:38:00,           2018-02-19 17:38:00,      3.490000,      7.592000,          0.061000,                     0.525295,      0.968000
                1519084080,           2018-02-19 23:48:00,           2018-02-19 17:48:00,      3.490000,      7.554000,          0.059000,                     0.507597,      0.968000
                1519084680,           2018-02-19 23:58:00,           2018-02-19 17:58:00,      3.490000,      7.563000,          0.059000,                     0.507710,      0.968000
                1519085280,           2018-02-20 00:08:00,           2018-02-19 18:08:00,      3.480000,      7.544000,          0.058000,                     0.498870,      0.968000
                1519085880,           2018-02-20 00:18:00,           2018-02-19 18:18:00,      3.480000,      7.582000,          0.056000,                     0.482120,      0.968000
                1519086480,           2018-02-20 00:28:00,           2018-02-19 18:28:00,      3.480000,      7.554000,          0.055000,                     0.473183,      0.968000
                1519087080,           2018-02-20 00:38:00,           2018-02-19 18:38:00,      3.480000,      7.525000,          0.053000,                     0.455651,      0.968000
                1519087680,           2018-02-20 00:48:00,           2018-02-19 18:48:00,      3.480000,      7.554000,          0.053000,                     0.455977,      0.968000
                1519088280,           2018-02-20 00:58:00,           2018-02-19 18:58:00,      3.480000,      7.554000,          0.054000,                     0.464580,      0.968000
                1519088880,           2018-02-20 01:08:00,           2018-02-19 19:08:00,      3.480000,      7.544000,          0.051000,                     0.438662,      0.968000
                1519089480,           2018-02-20 01:18:00,           2018-02-19 19:18:00,      3.480000,      7.525000,          0.051000,                     0.438456,      0.968000
                1519090080,           2018-02-20 01:28:00,           2018-02-19 19:28:00,      3.480000,      7.525000,          0.049000,                     0.421262,      0.968000
                1519090680,           2018-02-20 01:38:00,           2018-02-19 19:38:00,      3.480000,      7.516000,          0.049000,                     0.421168,      0.968000
